layer,layer_importance_score,chunk_policy,recommended_coefficient_slots,route_guarded_relative_delta_norm,trust_region_relative_delta_norm,route_to_trust_reduction,trust_to_expert_only_reduction,calibrate_fraction,router_relative_delta_norm,min_topk_jaccard,min_top1_agreement,chunk_reason
17,0.8864221605510036,per_layer_coefficients,4,0.3468300537451158,0.2911483878563138,0.0556816658888019,0.0036147487801618,1.0,0.844351985029753,0.3112784651246189,0.25,highest expert-delta/router sensitivity; allocate fine calibration coefficients
25,0.7198292347639553,two_layer_chunk_coefficients,2,0.3158693175007592,0.2727545390131438,0.0431147784876154,0.0028146117491014,1.0,0.7017186652539982,0.3745800865800865,0.2000000029802322,medium sensitivity; share coefficients across small adjacent chunks
4,0.7118841605780624,two_layer_chunk_coefficients,2,0.3098412082601441,0.2599308031751469,0.0499104050849972,0.0033978190060222,0.9166666666666666,0.7927252544903206,0.4312431158585005,0.21875,medium sensitivity; share coefficients across small adjacent chunks
29,0.6851972114215917,two_layer_chunk_coefficients,2,0.3036616728234589,0.2532722007339074,0.0503894720895515,0.0028809198067107,1.0,0.5621192438365952,0.3615321186749757,0.1923076957464218,medium sensitivity; share coefficients across small adjacent chunks
10,0.6793855940158577,two_layer_chunk_coefficients,2,0.302037191424864,0.2687784414359351,0.0332587499889289,0.003488314278271,1.0,0.8216976078230216,0.397010101010101,0.3333333432674408,medium sensitivity; share coefficients across small adjacent chunks
30,0.6607297373217993,two_layer_chunk_coefficients,2,0.3109401714098647,0.2648087844163261,0.0461313869935385,0.0022257753912072,0.9166666666666666,0.5163726559826564,0.3391561843174746,0.1818181872367859,medium sensitivity; share coefficients across small adjacent chunks
6,0.6445981320221756,two_layer_chunk_coefficients,2,0.296716631415736,0.2535913147537646,0.0431253166619713,0.0030576386090067,0.8333333333333334,0.8064165615238935,0.4199118888774061,0.3461538553237915,medium sensitivity; share coefficients across small adjacent chunks
14,0.6426315178763327,two_layer_chunk_coefficients,2,0.2829556460176065,0.2542868777938083,0.0286687682237981,0.0038411504464762,1.0,0.8412605132836908,0.3432511932511932,0.0769230797886848,medium sensitivity; share coefficients across small adjacent chunks
8,0.638411563359575,two_layer_chunk_coefficients,2,0.3128747155233154,0.276731364328918,0.0361433511943974,0.0032718684713063,0.8333333333333334,0.7833411339923894,0.4648837752286028,0.4000000059604645,medium sensitivity; share coefficients across small adjacent chunks
34,0.6340432283605667,two_layer_chunk_coefficients,2,0.3074577852849187,0.2509321152546334,0.0565256700302853,0.0018371581569407,0.9166666666666666,0.3658831211081761,0.3888978405107437,0.2727272808551788,medium sensitivity; share coefficients across small adjacent chunks
27,0.6107933388114944,coarse_shared_coefficients,1,0.2844868148423492,0.2483452424690914,0.0361415723732578,0.0024954426764859,1.0,0.6011662098795464,0.3419087579087579,0.1923076957464218,lower sensitivity; keep coefficient count small
28,0.5843252632820073,coarse_shared_coefficients,1,0.2787438158941525,0.2453710238043793,0.0333727920897731,0.0026822744772559,1.0,0.564750735117613,0.3263731823731823,0.1599999964237213,lower sensitivity; keep coefficient count small
31,0.5587908043109484,coarse_shared_coefficients,1,0.2881497981508511,0.2501994186804694,0.0379503794703817,0.002166041188547,0.9166666666666666,0.4520544500742014,0.3631627631627632,0.1923076957464218,lower sensitivity; keep coefficient count small
36,0.550947653165817,coarse_shared_coefficients,1,0.2947457323593921,0.2626480924077133,0.0320976399516788,0.00166290441894,1.0,0.348840544129326,0.3621941021941021,0.3600000143051147,lower sensitivity; keep coefficient count small
33,0.521444520577187,coarse_shared_coefficients,1,0.2777979760241563,0.2383202063958234,0.0394777696283328,0.0019538704028801,1.0,0.3730107209363898,0.4327629635321943,0.1153846159577369,lower sensitivity; keep coefficient count small
32,0.49698965714293786,coarse_shared_coefficients,1,0.293301694760919,0.2577635709454256,0.0355381238154933,0.0020770731954652,0.75,0.405890656266141,0.3938298260878906,0.4000000059604645,lower sensitivity; keep coefficient count small
7,0.4860158873628232,coarse_shared_coefficients,1,0.2543277117248565,0.2315978613294379,0.0227298503954186,0.0033636608837714,0.8333333333333334,0.7841588715942481,0.3876659738728704,0.2857142984867096,lower sensitivity; keep coefficient count small
2,0.4707656883481248,coarse_shared_coefficients,1,0.2754676281630078,0.2458847861913146,0.0295828419716931,0.0035208488515416,0.5833333333333334,0.7799017154232584,0.4456290376290376,0.3571428656578064,lower sensitivity; keep coefficient count small
3,0.4515550496865413,coarse_shared_coefficients,1,0.2762901493970891,0.2409843225580093,0.0353058268390798,0.0032519458114005,0.5,0.7496719314130044,0.4785658785658785,0.3600000143051147,lower sensitivity; keep coefficient count small
35,0.4471531491274398,coarse_shared_coefficients,1,0.2638827005370062,0.2368744115017218,0.0270082890352843,0.0017965728520981,1.0,0.353769759426575,0.4227994227994227,0.2000000029802322,lower sensitivity; keep coefficient count small
46,0.39491808983999455,coarse_shared_coefficients,1,0.265264018775568,0.2435389987394345,0.0217250200361334,0.0015312083672902,0.8333333333333334,0.330311892363737,0.3823976789494031,0.2399999946355819,lower sensitivity; keep coefficient count small
