nonbase_mass_retention,mean_scale,min_scale,max_predicted_relative_delta,hard_cap_violation_count,risk_weighted_predicted_delta,router_coupled_weighted_scale,router_coupled_weighted_predicted_delta,changed_group_count,route_mass_weighted_scale,candidate_id,pressure_quantile,extra_shrink_strength,extra_shrink_cap,retention_delta_vs_base,risk_delta_reduction_vs_base,router_coupled_delta_reduction_vs_base,passes_hard_cap,passes_retention_gate,ablation_only
0.9639173672160639,0.9616781719103541,0.4306440943988023,0.6490000000000001,0,0.2300789666245547,0.9733885364863095,0.22377317879804445,638,0.9791068997564684,router_q0.85_s0.0040_cap0.0075,0.85,0.004,0.0075,-0.0011171375688482366,0.0003445148351022831,0.00041366617054369725,True,False,True
0.9639173672160639,0.9616781719103541,0.4306440943988023,0.6490000000000001,0,0.2300789666245547,0.9733885364863095,0.22377317879804445,638,0.9791068997564684,router_q0.85_s0.0040_cap0.0100,0.85,0.004,0.01,-0.0011171375688482366,0.0003445148351022831,0.00041366617054369725,True,False,True
0.9639394752684172,0.961576650320748,0.4306440943988023,0.6490000000000001,0,0.2300931884934765,0.9734245959089715,0.22378847590882472,972,0.9791096243958411,router_q0.75_s0.0050_cap0.0030,0.75,0.005,0.003,-0.001095029516494983,0.00033029296618047876,0.00039836905976342596,True,False,True
0.9639729228036329,0.961615561648717,0.4306440943988023,0.6490000000000001,0,0.23010170619848155,0.9734727005313542,0.22379945979988752,810,0.97914448783615,router_q0.80_s0.0075_cap0.0030,0.8,0.0075,0.003,-0.0010615819812792582,0.00032177526117543875,0.0003873851687006269,True,False,True
0.9639729228036329,0.961615561648717,0.4306440943988023,0.6490000000000001,0,0.23010170619848155,0.9734727005313542,0.22379945979988752,810,0.97914448783615,router_q0.80_s0.0100_cap0.0030,0.8,0.01,0.003,-0.0010615819812792582,0.00032177526117543875,0.0003873851687006269,True,False,True
0.9639977690680583,0.9616371670337642,0.4306440943988023,0.6490000000000001,0,0.23010869368720208,0.9735104920240101,0.2238079810896786,810,0.979171200268541,router_q0.80_s0.0050_cap0.0030,0.8,0.005,0.003,-0.0010367357168538094,0.0003147877724549164,0.0003788638789095633,True,False,True
0.9640006704182444,0.9616238277561444,0.4306440943988023,0.6490000000000001,0,0.23011019842056635,0.9735117245829975,0.22380939399210015,972,0.9791703321315377,router_q0.75_s0.0040_cap0.0030,0.75,0.004,0.003,-0.0010338343666677074,0.0003132830390906449,0.00037745097648800296,True,False,True
0.9640473054579574,0.9616722411265575,0.4306440943988023,0.6490000000000001,0,0.23012260257554681,0.9735804414750285,0.22382499813678328,810,0.9792195928296977,router_q0.80_s0.0040_cap0.0030,0.8,0.004,0.003,-0.0009871993269547907,0.0003008788841101784,0.000361846831804874,True,False,True
0.9640737260476032,0.9617729087569011,0.4306440943988023,0.6490000000000001,0,0.23012287088228714,0.9735994011664943,0.22382717823876067,436,0.9792502492961468,router_q0.90_s0.0040_cap0.0050,0.9,0.004,0.005,-0.0009607787373089316,0.0003006105773698531,0.0003596667298274847,True,False,True
0.9640737260476032,0.9617729087569011,0.4306440943988023,0.6490000000000001,0,0.23012287088228714,0.9735994011664943,0.22382717823876067,436,0.9792502492961468,router_q0.90_s0.0040_cap0.0075,0.9,0.004,0.0075,-0.0009607787373089316,0.0003006105773698531,0.0003596667298274847,True,False,True
0.9640737260476032,0.9617729087569011,0.4306440943988023,0.6490000000000001,0,0.23012287088228714,0.9735994011664943,0.22382717823876067,436,0.9792502492961468,router_q0.90_s0.0040_cap0.0100,0.9,0.004,0.01,-0.0009607787373089316,0.0003006105773698531,0.0003596667298274847,True,False,True
0.9640848747903413,0.9617139785855852,0.4306440943988023,0.6490000000000001,0,0.23013291132513466,0.9736443945664632,0.2238374787127631,638,0.9792663045286637,router_q0.85_s0.0075_cap0.0030,0.85,0.0075,0.003,-0.000949629994570822,0.0002905701345223277,0.00034936625582504544,True,False,True
0.9640848747903413,0.9617139785855852,0.4306440943988023,0.6490000000000001,0,0.23013291132513466,0.9736443945664632,0.2238374787127631,638,0.9792663045286637,router_q0.85_s0.0100_cap0.0030,0.85,0.01,0.003,-0.000949629994570822,0.0002905701345223277,0.00034936625582504544,True,False,True
0.964088902925293,0.961716543972241,0.4306440943988023,0.6490000000000001,0,0.23013407132203095,0.973649541961738,0.2238388781207617,638,0.9792698626957573,router_q0.85_s0.0050_cap0.0030,0.85,0.005,0.003,-0.0009456018596191162,0.0002894101376260394,0.00034796684782645304,True,False,True
0.9641069950141504,0.9616944519314666,0.4306440943988023,0.6490000000000001,0,0.2301405656361976,0.9736631836815853,0.2238463540135182,972,0.9792739890656698,router_q0.75_s0.0030_cap0.0030,0.75,0.003,0.003,-0.0009275097707617252,0.0002829158234593787,0.00034049095506993865,True,False,True
0.9641069950141504,0.9616944519314666,0.4306440943988023,0.6490000000000001,0,0.2301405656361976,0.9736631836815853,0.2238463540135182,972,0.9792739890656698,router_q0.75_s0.0030_cap0.0050,0.75,0.003,0.005,-0.0009275097707617252,0.0002829158234593787,0.00034049095506993865,True,False,True
0.9641069950141504,0.9616944519314666,0.4306440943988023,0.6490000000000001,0,0.2301405656361976,0.9736631836815853,0.2238463540135182,972,0.9792739890656698,router_q0.75_s0.0030_cap0.0075,0.75,0.003,0.0075,-0.0009275097707617252,0.0002829158234593787,0.00034049095506993865,True,False,True
0.9641069950141504,0.9616944519314666,0.4306440943988023,0.6490000000000001,0,0.2301405656361976,0.9736631836815853,0.2238463540135182,972,0.9792739890656698,router_q0.75_s0.0030_cap0.0100,0.75,0.003,0.01,-0.0009275097707617252,0.0002829158234593787,0.00034049095506993865,True,False,True
0.964120212543745,0.9617357426773389,0.4306440943988023,0.6490000000000001,0,0.23014290468340987,0.9736916814252108,0.22384971576164978,638,0.9792985227714706,router_q0.85_s0.0040_cap0.0030,0.85,0.004,0.003,-0.000914292241167125,0.00028057677624712674,0.00033712920693837467,True,False,True
0.9641582663790492,0.9618558820759532,0.4306440943988023,0.6490000000000001,0,0.23014562408831904,0.9737223927747458,0.2238548942744442,234,0.9793383951078429,router_q0.95_s0.0050_cap0.0050,0.95,0.005,0.005,-0.000876238405862928,0.00027785737133795285,0.00033195069414396206,True,False,True
0.9641582663790492,0.9618558820759532,0.4306440943988023,0.6490000000000001,0,0.23014562408831904,0.9737223927747458,0.2238548942744442,234,0.9793383951078429,router_q0.95_s0.0050_cap0.0075,0.95,0.005,0.0075,-0.000876238405862928,0.00027785737133795285,0.00033195069414396206,True,False,True
