feature,decile,group_count,route_mass_sum,mean_feature_value,mean_selected_scale,mean_scale_delta,mean_selected_expected_delta_norm,hard_cap_bound_fraction,mean_benefit_term,mean_curvature_delta_term,mean_interference_term
curvature_score,10,525,78.52186125019296,0.5870500710534905,0.9416772344701021,-0.00548037184496357,0.30848893291158636,0.007619047619047619,0.8325143135076556,0.15548308899721147,0.5329042937244765
delta_pressure,1,524,23.309648006158113,0.0,0.9671391859724597,-0.007987570036472444,0.0,0.0019083969465648854,0.33105924518039065,0.0,0.3752493235346841
delta_pressure,2,524,28.58642895191101,0.0,0.9557958807331537,-0.010676397219464664,0.0,0.0,0.3704602365650088,0.0,0.48425394280412754
delta_pressure,3,524,26.52230054075275,0.0,0.9737455938800422,-0.0063179934971777625,0.0,0.04198473282442748,0.3643966991949094,0.0,0.3470343513043798
delta_pressure,4,525,52.14804106743264,0.07082582715180065,0.9808687034022041,-0.004122488604593333,0.05492579846519938,0.08,0.48875482657622127,0.0027612336208894506,0.3399688491680007
delta_pressure,5,524,74.766245455682,0.16449737776198858,0.9791665939824057,-0.003996190748769739,0.12764812113823998,0.12213740458015267,0.5786452188834087,0.011959429313077473,0.3760350906912163
delta_pressure,6,524,88.49380570509376,0.2409351887258796,0.9830026497858662,-0.002791228198765321,0.18768393084462792,0.20229007633587787,0.643676369238376,0.024917645846291536,0.3503193859366349
delta_pressure,7,525,103.37004273280465,0.30930340525965094,0.9841495848654874,-0.0022722930916488533,0.24118057743429916,0.21714285714285714,0.7215153726890566,0.042706928011995916,0.36240315047199595
delta_pressure,8,524,90.0243117411068,0.39408593799569336,0.979965586137097,-0.0025800127296204275,0.3059597041004182,0.11068702290076336,0.7136223347957668,0.07329088022119107,0.37896121771575675
delta_pressure,9,524,63.80377332229307,0.5434190171007244,0.9773849421782749,-0.002931647540466299,0.42112389333194217,0.22519083969465647,0.9040880337294429,0.14921131285913705,0.39462969526287106
delta_pressure,10,525,24.97540247676399,0.8735406645875632,0.854684851290998,0.0028607815508871937,0.6029216997250337,0.21142857142857144,1.2851319658550227,0.4718833310634861,0.36683469871244634
feature_expert_internal_geometry,1,524,62.550105404999954,0.14436093358341995,0.9957666160443103,-5.322274972086644e-05,0.21129590783790586,0.5629770992366412,0.7025947038887723,0.03439260052410756,0.19187941466786013
