case_type,layer_id,expert_id,total_topk_fraction,dominant_source,dominant_category,prior_scale,selected_scale,scale_delta,delta_norm,selected_expected_delta_norm,benefit_score,curvature_score,interference_score,benefit_term,curvature_delta_term,interference_term,solver_gradient_at_prior,objective_unconstrained_scale,hard_cap_scale,mechanistic_binding,mechanistic_reason,trust_risk_flags,tensor_pattern
benefit_gradient_restored,4,81,0.4395579263154343,instruct,general,0.996917924708215,0.9971601756774148,0.0002422509691997199,0.2548840557464566,0.2541602298055087,0.4445218013025702,0.5302491090226398,0.3737241583334729,0.8984609721492408,0.05624981860464869,0.41589571031264133,0.013156742880826133,1.011733388562388,1.0,benefit_gradient_restore,balanced,high_load_expert|shared_mixed_expert,.*layers\.4\..*experts\.81\..*
benefit_gradient_restored,5,56,0.4190002147694719,instruct,general,0.9953310441469312,0.9956703249115922,0.00033928076466105406,0.1381961201581835,0.13759777585942,0.402550209393221,0.4918964602875655,0.3576457078354066,0.8292078454988147,0.015547058566361743,0.3996162791833493,0.018232398627195057,1.0177081363670635,1.0,benefit_gradient_restore,balanced,high_load_expert|shared_mixed_expert,.*layers\.5\..*experts\.56\..*
benefit_gradient_restored,4,52,0.4103888636044152,instruct,general,0.9934650372090132,0.9936376305185012,0.00017259330948793394,0.2060846841697118,0.2047734972645461,0.4279820227392392,0.4919114253396334,0.3742576651400955,0.8711703375197447,0.034574725886434204,0.4164358859543468,0.009392570310879922,1.00429287539241,1.0,benefit_gradient_restore,balanced,high_load_expert|shared_mixed_expert,.*layers\.4\..*experts\.52\..*
benefit_gradient_restored,33,87,0.4096990918101175,instruct,general,0.99341701323912,0.9934273520758072,1.0338836687218134e-05,0.2058829802344395,0.20452978389177498,0.4238572414074766,0.5233545350672149,0.3744277665229195,0.8643644483223363,0.036306365265857996,0.41660811360445604,0.000565911562113719,0.9940678434383711,1.0,benefit_gradient_restore,balanced,high_load_expert|shared_mixed_expert,.*layers\.33\..*experts\.87\..*
benefit_gradient_restored,33,49,0.4039452026931164,instruct,general,0.9907319786313932,0.9909015584105972,0.00016957977920406542,0.1911467898904498,0.1894076519876297,0.420195725674927,0.5270372895845334,0.3706452092141241,0.8583229473636295,0.031476720045317694,0.4127782743293007,0.009232681307665302,1.0015048174986962,1.0,benefit_gradient_restore,balanced,high_load_expert|shared_mixed_expert,.*layers\.33\..*experts\.49\..*
benefit_gradient_restored,1,119,0.3882746559729662,instruct,general,0.996300879221758,0.9978075826105972,0.0015067033888391812,0.2274159901676247,0.22691739939615296,0.4374854633233693,0.4645467893712089,0.3440794368479914,0.8868510144835593,0.040192056973353985,0.3858804298085914,0.07790160979773675,1.092244385558126,1.0,benefit_gradient_restore,balanced,high_load_expert|shared_mixed_expert,.*layers\.1\..*experts\.119\..*
benefit_gradient_restored,7,34,0.3853987868823794,instruct,general,0.995082360804621,0.9996748401688416,0.004592479364220581,0.3501772778927499,0.35006341430819476,0.4937863904367893,0.4335218624432497,0.2970846171135907,0.9797475442207024,0.09015994216837861,0.3382981748275106,0.21676188319127676,1.2777822036396917,1.0,benefit_gradient_restore,balanced,high_load_expert|shared_mixed_expert,.*layers\.7\..*experts\.34\..*
benefit_gradient_restored,26,6,0.3816068671896325,instruct,general,0.9919526902985508,0.9938862789849202,0.0019335886863693919,0.2349369708968102,0.2335006318006192,0.456801145649006,0.3749785483496728,0.3531102609104932,0.9187218903208599,0.03622036987485123,0.3950241391718744,0.09910248181107273,1.1118924726256831,1.0,benefit_gradient_restore,route_important_fragile_boundary,high_load_expert|fragile_router_layer,.*layers\.26\..*experts\.6\..*
benefit_gradient_restored,46,34,0.380194724688085,instruct,general,0.9956183173389456,0.9968266012940508,0.0012082839551051938,0.1243152297000453,0.12392072791098539,0.4028864016003559,0.409071224539752,0.3380580227075624,0.8297625626405872,0.010852706105904476,0.379783747991407,0.06271809739308687,1.077025966337569,1.0,benefit_gradient_restore,balanced,high_load_expert|shared_mixed_expert,.*layers\.46\..*experts\.34\..*
benefit_gradient_restored,31,98,0.3622155289556564,instruct,general,0.988678345459065,0.9889619590129728,0.0002836135539078244,0.2615311255640023,0.2586443342806435,0.4651835421051388,0.3899075021242962,0.3981608447437335,0.932552844473479,0.04626306423039523,0.4406378553030302,0.015515343219043798,1.005405779006821,1.0,benefit_gradient_restore,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer,.*layers\.31\..*experts\.98\..*
