left_digit,right_digit,cosine,sign_conflict,weighted_conflict,max_layer_weighted_conflict,base_left_acc,base_right_acc,base_worst_acc,left_expert_left_acc,left_expert_right_acc,right_expert_left_acc,right_expert_right_acc,oracle_worst_acc,linear_left_acc,linear_right_acc,linear_avg_acc,linear_worst_acc,linear_avg_loss,linear_worst_loss,linear_drop_from_base,linear_drop_from_oracle,ties_worst_acc,dare_worst_acc
1,3,0.08523985722830606,0.4438387155532837,0.4484923970601242,0.5438068041264754,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03185813249768438,0.03765761852264404,0.0,0.0,0.5945945945945946,1.0
1,4,0.005470853191929509,0.5211811661720276,0.49645535608273983,0.62139611762449,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.972972972972973,1.0,0.9864864864864865,0.972972972972973,0.1053780492495846,0.1875499390267037,0.027027027027026973,0.027027027027026973,0.9722222222222222,0.972972972972973
1,5,0.10629714408277512,0.4095400273799896,0.43420269218984503,0.4943101524289942,1.0,0.9459459459459459,0.9459459459459459,1.0,0.0,0.0,1.0,1.0,1.0,0.972972972972973,0.9864864864864865,0.972972972972973,0.09215387943628672,0.1433590940527014,-0.027027027027027084,0.027027027027026973,0.972972972972973,0.972972972972973
1,6,0.031498712859261424,0.47228845953941345,0.47901982676130134,0.6023134703030051,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.9722222222222222,0.9861111111111112,0.9722222222222222,0.06849677229786778,0.08812753359476726,0.02777777777777779,0.02777777777777779,0.0,0.9722222222222222
1,7,0.08108402791105128,0.4346961975097656,0.4490949027009002,0.5952805422477225,1.0,0.9444444444444444,0.9444444444444444,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.054939708596951256,0.060486329568398965,-0.05555555555555558,0.0,0.5945945945945946,0.972972972972973
1,8,0.010507423217759434,0.49858036637306213,0.49367926519673533,0.5858146756838959,1.0,0.9142857142857143,0.9142857142857143,1.0,0.0,0.0,1.0,1.0,0.972972972972973,1.0,0.9864864864864865,0.972972972972973,0.1374855205359146,0.13844526835850307,-0.05868725868725877,0.027027027027026973,0.0,0.9428571428571428
1,9,-0.009153370318831094,0.5003975033760071,0.5054145400777459,0.5496369859417545,1.0,0.9722222222222222,0.9722222222222222,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07688413206879441,0.08424939336003484,-0.02777777777777779,0.0,1.0,1.0
2,3,0.032355870431414406,0.4819420874118805,0.4796055692635083,0.5514414210473914,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08071835768268835,0.09558974085627375,0.0,0.0,0.14285714285714285,1.0
2,4,0.06486409846232208,0.4474162459373474,0.45514065230627787,0.5656936413536163,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.9714285714285714,1.0,0.9857142857142858,0.9714285714285714,0.032511875973570914,0.06032609258379255,0.02857142857142858,0.02857142857142858,0.8571428571428571,1.0
2,5,0.07644509295755535,0.42867687344551086,0.44961078870784515,0.6451570343113411,1.0,0.9459459459459459,0.9459459459459459,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03893011970639689,0.06798012836559399,-0.05405405405405406,0.0,0.9142857142857143,1.0
