ablation,layer_id,expert_id,dominant_source,dominant_category,route_mass,baseline_scale,ablated_scale,scale_shift,abs_scale_shift,audit_max_relative_delta_norm,benefit_score,curvature_score,interference_score,feature_subspace_conflict,feature_expert_internal_geometry,feature_router_instability,trust_risk_flags,mechanistic_reason
no_delta_pressure,41,109,coder,code,0.0174513704686118,0.7137034148173155,0.7242529276977316,0.010549512880416168,0.010549512880416168,0.8845913935869596,0.7115334026237259,0.43669924487211614,0.15740078984234962,0.4107077456900905,0.4036334180724881,0.0070980001944655,delta_above_base_cap|low_route_evidence,preserve_benefit_but_delta_cap_limited
no_delta_pressure,37,30,coder,code,0.013284703801945,0.7378624101866261,0.748363237625257,0.0105008274386309,0.0105008274386309,0.8576145741367658,0.7076739202971284,0.43488352154233256,0.15244886616733994,0.3953055886133723,0.3761311516296513,0.0,delta_above_base_cap|low_route_evidence,preserve_benefit_but_delta_cap_limited
no_delta_pressure,2,83,coder,code,0.0270667550839963,0.6608943910751957,0.6710053312598981,0.010110940184702488,0.010110940184702488,0.939968026589662,0.7204399003004891,0.5120342585390271,0.14296206466640513,0.5233878539533228,0.5121080450623271,0.1538281911441329,delta_above_base_cap,preserve_benefit_but_delta_cap_limited
no_delta_pressure,33,54,coder,code,0.1466290893015029,0.7910866250416715,0.8010061823986561,0.009919557356984576,0.009919557356984576,0.8073298534369583,0.8311875921018983,0.5613879371646535,0.21723529620163895,0.3025928809380405,0.339806946641643,0.456035753796126,delta_above_base_cap|high_load_expert|high_load_weight_limit,balanced
no_delta_pressure,8,44,coder,code,0.0572373862696442,0.8161298255537941,0.8260140394997646,0.0098842139459705,0.0098842139459705,0.7819899415616111,0.7308551528880536,0.4664064641832279,0.16557562106155557,0.3181808347345733,0.3176099033982735,0.4084333256168654,delta_above_base_cap,preserve_benefit_but_delta_cap_limited
no_delta_pressure,2,33,coder,code,0.0222590627763041,0.7324225402640796,0.7422366676250075,0.009814127360927904,0.009814127360927904,0.8743841800172119,0.7159866514621076,0.4413488690076714,0.10190506788159866,0.3528671551820456,0.34573371237941,0.1538281911441329,delta_above_base_cap,preserve_benefit_but_delta_cap_limited
no_delta_pressure,37,126,coder,code,0.013284703801945,0.6783700215300729,0.6880207818489514,0.00965076031887857,0.00965076031887857,0.9200181177442236,0.7076739202971284,0.4712414834552196,0.16992165787679933,0.4700181567364287,0.4670430839072369,0.0,delta_above_base_cap|low_route_evidence,preserve_benefit_but_delta_cap_limited
no_delta_pressure,45,3,coder,code,0.013284703801945,0.7575471573923835,0.7669778904610159,0.009430733068632402,0.009430733068632402,0.8450947846759999,0.7076739202971284,0.42970417310461606,0.18981840224409943,0.2522946874678377,0.2376701740864705,0.590125355375917,delta_above_base_cap|low_route_evidence,preserve_benefit_but_delta_cap_limited
no_delta_pressure,38,42,coder,code,0.013284703801945,0.6750873744762981,0.6845147112851886,0.009427336808890519,0.009427336808890519,0.93119379580478,0.7076739202971284,0.463298751923786,0.18506881703611983,0.3974685720869937,0.3915389464553772,0.2676175064456176,delta_above_base_cap|low_route_evidence,preserve_benefit_but_delta_cap_limited
no_delta_pressure,37,47,coder,code,0.0089743589743589,0.7060491980056485,0.7153435713664693,0.00929437336082084,0.00929437336082084,0.8817412818752383,0.7036813523730621,0.47361468128713974,0.17330483404736383,0.4870975484182305,0.4764773650853868,0.0,delta_above_base_cap|low_route_evidence,preserve_benefit_but_delta_cap_limited
