alpha,beta,vehicle_loss,animal_loss,vehicle_acc,animal_acc,avg_loss,worst_loss,avg_acc,worst_acc
0.04999999999999999,0.725,4.232780032687717,1.2992926632916486,0.0,0.49537037037037035,2.766036347989683,4.232780032687717,0.24768518518518517,0.0
0.04999999999999999,0.8,4.778034040662978,1.2798299718786168,0.0,0.5027777777777778,3.0289320062707974,4.778034040662978,0.2513888888888889,0.0
0.04999999999999999,0.875,5.314668782552084,1.264424126236527,0.0,0.5074074074074074,3.2895464543943054,5.314668782552084,0.2537037037037037,0.0
0.04999999999999999,0.95,5.8304767184787325,1.254139624701606,0.0,0.5064814814814815,3.542308171590169,5.8304767184787325,0.25324074074074077,0.0
0.04999999999999999,1.025,6.318087429470486,1.2500781765690556,0.0,0.5092592592592593,3.784082803019771,6.318087429470486,0.25462962962962965,0.0
0.04999999999999999,1.0999999999999999,6.774252319335938,1.2531473972179272,0.0,0.5055555555555555,4.013699858276933,6.774252319335938,0.25277777777777777,0.0
0.04999999999999999,1.175,7.197125583224826,1.2639782587687174,0.0,0.5046296296296297,4.230551920996772,7.197125583224826,0.2523148148148148,0.0
0.04999999999999999,1.25,7.586900499131945,1.2826177950258608,0.0,0.5,4.4347591470789025,7.586900499131945,0.25,0.0
0.125,-0.25,1.0713331434461806,2.0480439292060004,0.6277777777777778,0.2675925925925926,1.5596885363260906,2.0480439292060004,0.4476851851851852,0.2675925925925926
0.125,-0.175,1.0859096315171983,1.9613460258201316,0.625,0.28055555555555556,1.523627828668665,1.9613460258201316,0.4527777777777778,0.28055555555555556
0.125,-0.1,1.110990375942654,1.8774563118263528,0.6055555555555555,0.30185185185185187,1.4942233438845034,1.8774563118263528,0.4537037037037037,0.30185185185185187
0.125,-0.025000000000000022,1.149868795606825,1.797373934145327,0.5986111111111111,0.32407407407407407,1.473621364876076,1.797373934145327,0.4613425925925926,0.32407407407407407
0.125,0.04999999999999999,1.2068533579508463,1.7218591478135852,0.5805555555555556,0.35462962962962963,1.4643562528822156,1.7218591478135852,0.4675925925925926,0.35462962962962963
0.125,0.125,1.2877869923909506,1.651807975769043,0.5513888888888889,0.375,1.4697974840799968,1.651807975769043,0.46319444444444446,0.375
0.125,0.19999999999999996,1.4007384406195746,1.5879226543285228,0.49444444444444446,0.4,1.4943305474740487,1.5879226543285228,0.44722222222222224,0.4
0.125,0.275,1.556093004014757,1.530869053028248,0.43333333333333335,0.42592592592592593,1.5434810285215024,1.556093004014757,0.42962962962962964,0.42592592592592593
0.125,0.35,1.7664793650309245,1.480898412068685,0.325,0.4351851851851852,1.6236888885498049,1.7664793650309245,0.3800925925925926,0.325
0.125,0.42499999999999993,2.043536673651801,1.4378439867938007,0.21805555555555556,0.44351851851851853,1.740690330222801,2.043536673651801,0.33078703703703705,0.21805555555555556
0.125,0.5,2.395297876993815,1.401096322801378,0.12083333333333333,0.4601851851851852,1.8981970998975966,2.395297876993815,0.29050925925925924,0.12083333333333333
0.125,0.575,2.820399390326606,1.369905443544741,0.04722222222222222,0.47129629629629627,2.0951524169356732,2.820399390326606,0.25925925925925924,0.04722222222222222
0.125,0.6499999999999999,3.3075375027126737,1.3434561411539714,0.015277777777777777,0.4777777777777778,2.3254968219333225,3.3075375027126737,0.2465277777777778,0.015277777777777777
0.125,0.725,3.836456553141276,1.3213442272610134,0.0,0.48518518518518516,2.5789003902011447,3.836456553141276,0.24259259259259258,0.0
0.125,0.8,4.382872772216797,1.3034914158008717,0.0,0.49166666666666664,2.843182094008834,4.382872772216797,0.24583333333333332,0.0
0.125,0.875,4.925716654459635,1.2904036062735098,0.0,0.49074074074074076,3.1080601303665727,4.925716654459635,0.24537037037037038,0.0
0.125,0.95,5.449601745605468,1.2827513023659034,0.0,0.49722222222222223,3.366176523985686,5.449601745605468,0.24861111111111112,0.0
0.125,1.025,5.946058993869357,1.2812455707126194,0.0,0.4962962962962963,3.6136522822909884,5.946058993869357,0.24814814814814815,0.0
0.125,1.0999999999999999,6.4097174750434025,1.2866335409658927,0.0,0.4935185185185185,3.8481755080046476,6.4097174750434025,0.24675925925925926,0.0
0.125,1.175,6.839234246148004,1.2991790559556748,0.0,0.5,4.069206651051839,6.839234246148004,0.25,0.0
0.125,1.25,7.234310404459635,1.3188649142229998,0.0,0.4925925925925926,4.276587659341318,7.234310404459635,0.2462962962962963,0.0
0.19999999999999996,-0.25,1.0174002753363716,2.211050111276132,0.6388888888888888,0.23333333333333334,1.6142251933062517,2.211050111276132,0.4361111111111111,0.23333333333333334
0.19999999999999996,-0.175,1.022932391696506,2.113683248449255,0.6319444444444444,0.24814814814814815,1.5683078200728806,2.113683248449255,0.44004629629629627,0.24814814814814815
0.19999999999999996,-0.1,1.0369849310980903,2.0179363392017504,0.6208333333333333,0.2722222222222222,1.5274606351499203,2.0179363392017504,0.44652777777777775,0.2722222222222222
0.19999999999999996,-0.025000000000000022,1.0621961593627929,1.9249348322550455,0.6236111111111111,0.29259259259259257,1.493565495808919,1.9249348322550455,0.4581018518518518,0.29259259259259257
0.19999999999999996,0.04999999999999999,1.1021489885118272,1.8358046284428349,0.6125,0.3111111111111111,1.468976808477331,1.8358046284428349,0.4618055555555556,0.3111111111111111
0.19999999999999996,0.125,1.1617797215779622,1.7518785264756944,0.5972222222222222,0.33240740740740743,1.4568291240268283,1.7518785264756944,0.4648148148148148,0.33240740740740743
0.19999999999999996,0.19999999999999996,1.2480308108859592,1.6744339836968316,0.5611111111111111,0.3712962962962963,1.4612323972913954,1.6744339836968316,0.4662037037037037,0.3712962962962963
0.19999999999999996,0.275,1.370746866861979,1.6046801814326535,0.49444444444444446,0.4027777777777778,1.4877135241473163,1.6046801814326535,0.4486111111111111,0.4027777777777778
0.19999999999999996,0.35,1.5423114352756075,1.543644573070385,0.4236111111111111,0.4212962962962963,1.5429780041729964,1.543644573070385,0.4224537037037037,0.4212962962962963
0.19999999999999996,0.42499999999999993,1.776823467678494,1.4917446630972404,0.29305555555555557,0.43796296296296294,1.6342840653878672,1.776823467678494,0.36550925925925926,0.29305555555555557
