layer_id,expert_id,total_topk_fraction,dominant_source,base_instruct_weight,base_coder_weight,layer_chunk_weight_instruct,layer_chunk_weight_coder,layer_chunk_coder_coefficient,base_expected_delta,layer_chunk_expected_relative_delta,mechanism_risk_score,layer_importance_score,chunk_policy,trust_risk_flags,tensor_pattern
0,63,0.1071670441743088,instruct,0.6062155107359345,0.2437844892640656,0.6062155107359345,0.2437844892640656,1.0,0.2473564709309164,0.2473564709309164,0.2761330316492689,0.3793871702695348,coarse_shared_coefficients,shared_mixed_expert,.*layers\.0\..*experts\.63\..*
0,64,0.2376913019081397,instruct,0.6890216563642085,0.1609783436357914,0.6890216563642085,0.1609783436357914,1.0,0.1687886208493736,0.1687886208493736,0.2710529939124765,0.3793871702695348,coarse_shared_coefficients,high_load_expert|shared_mixed_expert,.*layers\.0\..*experts\.64\..*
0,65,0.1548143196717998,instruct,0.4387625184585629,0.411237481541437,0.4387625184585629,0.411237481541437,1.0,0.4375481309062478,0.4375481309062478,0.3660238882869904,0.3793871702695348,coarse_shared_coefficients,shared_mixed_expert,.*layers\.0\..*experts\.65\..*
0,66,0.0777642514720167,instruct,0.7047919125060088,0.1452080874939912,0.7047919125060088,0.1452080874939912,1.0,0.148606208435052,0.148606208435052,0.2165387198577663,0.3793871702695348,coarse_shared_coefficients,shared_mixed_expert,.*layers\.0\..*experts\.66\..*
0,67,0.3326542195638062,instruct,0.6900172302558123,0.1599827697441876,0.6900172302558123,0.1599827697441876,1.0,0.1673484046705505,0.1673484046705505,0.2611890964775633,0.3793871702695348,coarse_shared_coefficients,high_load_expert|shared_mixed_expert,.*layers\.0\..*experts\.67\..*
0,68,0.1241062059464448,instruct,0.6167806754987621,0.2332193245012377,0.6167806754987621,0.2332193245012377,1.0,0.2401582187761767,0.2401582187761767,0.2726373989657848,0.3793871702695348,coarse_shared_coefficients,shared_mixed_expert,.*layers\.0\..*experts\.68\..*
0,69,0.1147241422486483,instruct,0.5903383834515206,0.2596616165484794,0.5903383834515206,0.2596616165484794,1.0,0.2736475239524513,0.2736475239524513,0.2913791734974773,0.3793871702695348,coarse_shared_coefficients,shared_mixed_expert,.*layers\.0\..*experts\.69\..*
0,70,0.0262811109566184,instruct,0.7105921526873045,0.1394078473126956,0.7105921526873045,0.1394078473126956,1.0,0.1518535751783733,0.1518535751783733,0.222030736571736,0.3793871702695348,coarse_shared_coefficients,shared_mixed_expert,.*layers\.0\..*experts\.70\..*
0,71,0.0493414557842044,instruct,0.5579348529306427,0.2920651470693572,0.5579348529306427,0.2920651470693572,1.0,0.300008455850998,0.300008455850998,0.292942454196899,0.3793871702695348,coarse_shared_coefficients,,.*layers\.0\..*experts\.71\..*
0,72,0.1820198203608586,instruct,0.6608949540682343,0.1891050459317657,0.6608949540682343,0.1891050459317657,1.0,0.2190737544329335,0.2190737544329335,0.2288957681352645,0.3793871702695348,coarse_shared_coefficients,,.*layers\.0\..*experts\.72\..*
0,73,0.0996679287064433,instruct,0.6999437930615413,0.1500562069384587,0.6999437930615413,0.1500562069384587,1.0,0.1540116461784865,0.1540116461784865,0.2142466295216764,0.3793871702695348,coarse_shared_coefficients,shared_mixed_expert,.*layers\.0\..*experts\.73\..*
0,74,0.002840909090909,instruct,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2536036033206013,0.3793871702695348,coarse_shared_coefficients,low_route_evidence,.*layers\.0\..*experts\.74\..*
0,75,0.0871988352998499,instruct,0.6316217414927693,0.2183782585072307,0.6316217414927693,0.2183782585072307,1.0,0.2427891566977118,0.2427891566977118,0.2554423746381032,0.3793871702695348,coarse_shared_coefficients,shared_mixed_expert,.*layers\.0\..*experts\.75\..*
0,76,0.0255681818181817,instruct,0.85,0.0,0.85,0.0,1.0,0.0,0.0,0.1205906557045189,0.3793871702695348,coarse_shared_coefficients,,.*layers\.0\..*experts\.76\..*
0,77,0.3317651216969901,instruct,0.6785451580160087,0.1714548419839913,0.6785451580160087,0.1714548419839913,1.0,0.1791541496408969,0.1791541496408969,0.2670332047481815,0.3793871702695348,coarse_shared_coefficients,high_load_expert|shared_mixed_expert,.*layers\.0\..*experts\.77\..*
0,78,0.0445003199085858,instruct,0.85,0.0,0.85,0.0,1.0,0.0,0.0,0.1261102631204617,0.3793871702695348,coarse_shared_coefficients,shared_mixed_expert,.*layers\.0\..*experts\.78\..*
0,79,0.03125,instruct,0.85,0.0,0.85,0.0,1.0,0.0,0.0,0.2038428282380437,0.3793871702695348,coarse_shared_coefficients,high_load_expert,.*layers\.0\..*experts\.79\..*
0,80,0.0885032512444912,instruct,0.5995995820086216,0.2504004179913783,0.5995995820086216,0.2504004179913783,1.0,0.2599236797223911,0.2599236797223911,0.2903885797833,0.3793871702695348,coarse_shared_coefficients,shared_mixed_expert,.*layers\.0\..*experts\.80\..*
0,81,0.1787016369337,instruct,0.6443462423704138,0.2056537576295862,0.6443462423704138,0.2056537576295862,1.0,0.2134486720619448,0.2134486720619448,0.2446830910166609,0.3793871702695348,coarse_shared_coefficients,shared_mixed_expert,.*layers\.0\..*experts\.81\..*
0,82,0.1802933382431431,instruct,0.7020714343373164,0.1479285656626836,0.7020714343373164,0.1479285656626836,1.0,0.1526193812736707,0.1526193812736707,0.2753511825561042,0.3793871702695348,coarse_shared_coefficients,high_load_expert|shared_mixed_expert,.*layers\.0\..*experts\.82\..*
0,83,0.1585469567279214,instruct,0.5420042677712141,0.3079957322287858,0.5420042677712141,0.3079957322287858,1.0,0.3233971862784837,0.3233971862784837,0.3134051711776965,0.3793871702695348,coarse_shared_coefficients,shared_mixed_expert,.*layers\.0\..*experts\.83\..*
0,84,0.1859286711156841,instruct,0.6064113211177858,0.2435886788822141,0.6064113211177858,0.2435886788822141,1.0,0.2620361343697416,0.2620361343697416,0.262691476353351,0.3793871702695348,coarse_shared_coefficients,shared_mixed_expert,.*layers\.0\..*experts\.84\..*
