layer_id,expert_id,total_topk_fraction,dominant_source,dominant_category,original_weight_instruct,original_weight_coder,prior_scale,prior_weight_instruct,prior_weight_coder,mechanistic_selected_scale,mechanistic_scale_delta_vs_prior,mechanistic_weight_instruct,mechanistic_weight_coder,audit_max_relative_delta_norm,mechanistic_expected_max_relative_delta_norm,benefit_score,curvature_score,interference_score,local_curvature_proxy,marginal_interference_proxy,marginal_benefit_proxy,route_mass_pressure,coder_route_share,category_coder_prior,feature_subspace_conflict,feature_subspace_route_conflict,feature_expert_route_geometry,feature_expert_internal_geometry,feature_router_instability,load_pressure,delta_pressure,mechanistic_reason,mechanistic_action,trust_risk_flags,feedback_action,tensor_pattern
0,26,0.0264356153903565,instruct,code,0.5774336283185847,0.2725663716814153,1.0,0.5774336283185847,0.2725663716814153,0.9852537790340785,-0.014746220965921486,0.5774336283185847,0.26854704773672167,0.2911027804821234,0.2868101145573399,0.29109696631246385,0.41766323303338954,0.3414717882372006,0.9517938194601012,0.5109869141202208,0.2687730538921418,0.066184303007057,0.32066631962519454,1.0,0.6418448760918676,0.3483603188159846,0.4226594483342201,0.5837354636481276,0.0180180166030063,0.06806816077051431,0.36738146178968983,balanced,shrink_from_prior,shared_mixed_expert,unchanged,.*layers\.0\..*experts\.26\..*
0,27,0.1133070021955238,instruct,math,0.5860129375006541,0.2639870624993459,1.0,0.5860129375006541,0.2639870624993459,0.989033187829518,-0.01096681217048201,0.5860129375006541,0.26109196596947826,0.2770217608607018,0.27398371524220627,0.28486237892339666,0.3959520231433035,0.31892416528213546,0.9127136416579464,0.4805476231308829,0.29954131812448026,0.3344071686563004,0.3105730147051129,0.48,0.5143496013003905,0.3514171747836742,0.4555039554748881,0.4780880536785105,0.0180180166030063,0.22041118725690012,0.3496107432708234,balanced,shrink_from_prior,shared_mixed_expert,unchanged,.*layers\.0\..*experts\.27\..*
0,28,0.1565661901131864,coder,safety,0.3685410434805189,0.481458956519481,1.0,0.3685410434805189,0.481458956519481,1.0,0.0,0.3685410434805189,0.481458956519481,0.4959347556616312,0.4959347556616312,0.5560884516207336,0.41630049232020894,0.3599925703900028,0.9493408861763761,0.5359899700265038,0.6729542763883841,0.46797362564124184,0.5664223017876245,0.12,0.4077695020687245,0.3071237502088081,0.4457399470381354,0.3964006105357932,0.0180180166030063,0.18193333293501288,0.6258862769552676,balanced,keep_prior,shared_mixed_expert,unchanged,.*layers\.0\..*experts\.28\..*
0,29,0.1582732397260691,instruct,safety,0.6591136464774362,0.1908863535225637,1.0,0.6591136464774362,0.1908863535225637,0.991230437915719,-0.008769562084281035,0.6591136464774362,0.18921236379430556,0.2054793832344006,0.20367741902608674,0.23907914704918448,0.40202214942665154,0.2839389342631995,0.9236398689679728,0.43331756125531934,0.2824078091896909,0.4732442878904785,0.22457218061478101,0.12,0.5252277934127225,0.3970408181853972,0.5105183073371602,0.4896485110744393,0.0180180166030063,0.34755540153792047,0.2593218658209751,balanced,shrink_from_prior,shared_mixed_expert,unchanged,.*layers\.0\..*experts\.29\..*
0,30,0.0675579260028993,instruct,code,0.5201589456573632,0.3298410543426368,1.0,0.5201589456573632,0.3298410543426368,0.9844552253852669,-0.015544774614733137,0.5201589456573632,0.3247137494941945,0.3658425309925012,0.36015559130373925,0.35256290593478257,0.4601256629200227,0.3882126522688458,1.0282261932560408,0.574087080562942,0.32455395549794097,0.19315296783742478,0.38804829922663214,1.0,0.6579448221418567,0.4008505532154263,0.4708310637485173,0.5874312712063762,0.0180180166030063,0.19716294843872836,0.4617055309408792,balanced,shrink_from_prior,shared_mixed_expert,unchanged,.*layers\.0\..*experts\.30\..*
0,31,0.0977673167465643,instruct,code,0.5496265024695635,0.3003734975304364,1.0,0.5496265024695635,0.3003734975304364,0.9891919644700172,-0.010808035529982774,0.5496265024695635,0.29712705009686224,0.3109944213716931,0.3076331826158814,0.3685186288771326,0.4244455738845455,0.3547565445542318,0.9640020329921819,0.5289213351482129,0.350184413489703,0.28642705557538617,0.3533805853299253,1.0,0.5758643438420917,0.378974833624539,0.4697047482670949,0.5394125978182435,0.0180180166030063,0.18193333293501288,0.3924853790222992,balanced,shrink_from_prior,shared_mixed_expert,unchanged,.*layers\.0\..*experts\.31\..*
0,32,0.0417322546405206,instruct,general,0.7520772182873973,0.0979227817126028,1.0,0.7520772182873973,0.0979227817126028,0.9901267232187589,-0.009873276781241058,0.7520772182873973,0.09695596298556522,0.106644098507216,0.10559117180556832,0.12838912091182325,0.3369671355950324,0.21277802533599718,0.8065408440710584,0.3372503342035962,0.17716652162001978,0.1134139900809332,0.11520327260306215,0.34,0.5397963435884751,0.3063259638203202,0.3978285671391475,0.5152469280861851,0.0180180166030063,0.03889609186886473,0.13458842521509573,balanced,shrink_from_prior,shared_mixed_expert,unchanged,.*layers\.0\..*experts\.32\..*
0,33,0.062295025203291,instruct,math,0.7844002438685496,0.0655997561314504,1.0,0.7844002438685496,0.0655997561314504,0.9944909757778998,-0.005509024222100201,0.7844002438685496,0.06523836548595838,0.0667491527517101,0.06638143005239626,0.15664401973926456,0.30798487249381595,0.18204778030924904,0.7543727704888687,0.2957645034174862,0.19862409135082656,0.17690330973924576,0.07717618368405935,0.48,0.4826212527245703,0.2899279301096534,0.3780611759321864,0.4188241710480986,0.0180180166030063,0.15558436747545895,0.08423966707062241,balanced,shrink_from_prior,shared_mixed_expert,unchanged,.*layers\.0\..*experts\.33\..*
0,34,0.1228533370481017,instruct,general,0.7282630436058416,0.1217369563941584,1.0,0.7282630436058416,0.1217369563941584,0.9919949579295365,-0.008005042070463486,0.7282630436058416,0.12076244693669298,0.1320935698071781,0.13103615522363393,0.21324881894823722,0.3947982554631492,0.25493782650987173,0.9106368598336685,0.39416606578832686,0.25220571197038155,0.36388229717414494,0.14321994869901003,0.34,0.5956563584973456,0.4161633389133194,0.4935268885191692,0.5218886675959107,0.0180180166030063,0.30338951657714525,0.1667065106297041,balanced,shrink_from_prior,shared_mixed_expert,unchanged,.*layers\.0\..*experts\.34\..*
0,35,0.043553350211616,instruct,math,0.85,0.0,1.0,0.85,0.0,0.9926129490898064,-0.007387050910193649,0.85,0.0,0.0,0.0,0.11251103370548497,0.35120629090581135,0.1775930063319825,0.8321713236304604,0.2897505585481764,0.16790789651336002,0.11903677901828327,0.0,0.48,0.6404837819081883,0.3653506381804188,0.4436013412570014,0.5959688342311291,0.0180180166030063,0.07779218373772946,0.0,balanced,shrink_from_prior,shared_mixed_expert,unchanged,.*layers\.0\..*experts\.35\..*
0,36,0.1993175781045979,instruct,code,0.5477390992234467,0.3022609007765533,1.0,0.5477390992234467,0.3022609007765533,0.9880885451043462,-0.011911454895653817,0.5477390992234467,0.2986605336902337,0.3439618114169721,0.33986472581445143,0.4633524743155714,0.5322984098563379,0.4725937869918379,1.1581371377414083,0.6880016124389813,0.4799432338074846,0.5999722067535325,0.3556010597371215,1.0,0.6441272523893118,0.5296736588981683,0.6463605709276009,0.599907364042597,0.0180180166030063,0.816817929246158,0.43409132976645304,balanced,shrink_from_prior,high_load_expert|shared_mixed_expert,unchanged,.*layers\.0\..*experts\.36\..*
0,37,0.0331107954545452,instruct,general,0.85,0.0,1.0,0.85,0.0,0.9899355008535152,-0.010064499146484773,0.85,0.0,0.0,0.0,0.08043834837841916,0.40863417485339976,0.19066337397482397,0.9355415147361197,0.3073955548660124,0.14738281421522342,0.08679449459473054,0.0,0.34,0.78660918491302,0.4354218116368912,0.5031184776192673,0.7240107482397603,0.0180180166030063,0.1166882756065942,0.0,balanced,shrink_from_prior,,unchanged,.*layers\.0\..*experts\.37\..*
0,38,0.0309333052005464,coder,general,0.3528485771730547,0.4971514228269453,1.0,0.3528485771730547,0.4971514228269453,0.998449150977842,-0.001550849022157963,0.3528485771730547,0.4963804160289897,0.5147444256435205,0.51394613475435,0.48132227390609916,0.40234515332781723,0.32740443071160985,0.924221275990071,0.4919959814606733,0.5320702971362415,0.08007130647341329,0.5848840268552298,0.34,0.4576576783484004,0.2517215984177364,0.3404270545928934,0.40593089270476,0.0180180166030063,0.09801815150954006,0.6496247106530951,balanced,shrink_from_prior,,unchanged,.*layers\.0\..*experts\.38\..*
