candidate_id,benefit_gain,curvature_gain,interference_gain,step_size,group_count,scaled_group_count,restored_group_count,max_predicted_relative_delta,p99_predicted_relative_delta,hard_cap_violation_count,nonbase_mass_retention,route_mass_weighted_predicted_delta,risk_weighted_predicted_delta,benefit_weighted_scale,mean_mechanistic_loss_proxy,mean_scale,min_scale,high_benefit_low_risk_group_count,high_benefit_low_risk_mean_scale,high_interference_low_benefit_group_count,high_interference_low_benefit_mean_scale,high_subspace_group_count,high_subspace_mean_scale,mechanistic_objective,passes_hard_cap
s0.04_b1.65_h1.25_i0.75,1.65,1.25,0.75,0.04,5243,4910,89,0.65,0.6307641484320177,0,0.9697645450892818,0.21619136366577912,0.2318053130271945,0.9805047829377168,0.02980674415469839,0.969386706640655,0.4293428119296292,186,0.8580194977218581,314,0.981248458626078,1139,0.9489324890919301,0.18411059929719317,True
s0.08_b1.65_h1.00_i0.75,1.65,1.0,0.75,0.08,5243,4837,145,0.65,0.6361653145821189,0,0.9640621226615177,0.21483588097898365,0.23017247175382943,0.974853920561956,0.028957159569246632,0.9614803662293998,0.42727841682298145,186,0.8619352665902518,314,0.9659381830427552,1139,0.9370028263115145,0.1842131459573159,True
s0.04_b1.65_h1.00_i0.75,1.65,1.0,0.75,0.04,5243,4837,145,0.65,0.6323947676298771,0,0.9702144732697399,0.2162935129190031,0.23191921983710526,0.9808356658719951,0.029833784087070072,0.9696602050708273,0.43055117792536185,186,0.8597516596841939,314,0.9815284010778003,1139,0.9491984836060432,0.18426301913902163,True
s0.04_b0.90_h1.00_i0.75,0.9,1.0,0.75,0.04,5243,5219,10,0.6440175145851269,0.6260576023461635,0,0.9643684052307974,0.21499234139802606,0.23050130164785787,0.9749969394260959,0.029285968587710612,0.9656287874936451,0.4273012038682187,186,0.8523355614629866,314,0.9773770832583779,1139,0.9457269295748478,0.18431172213700542,True
s0.04_b1.65_h1.00_i1.25,1.65,1.0,1.25,0.04,5243,5154,62,0.65,0.6292163340510639,0,0.9643150459231838,0.21497246519043425,0.23047241170806382,0.9747417648850402,0.029206367177991948,0.9647225291935352,0.429439467138409,186,0.8557104447822625,314,0.976164044932387,1139,0.9444898769285678,0.18439848320390498,True
s0.04_b1.65_h0.75_i0.75,1.65,0.75,0.75,0.04,5243,4736,220,0.65,0.6352154816242166,0,0.970716233657468,0.21640773042019057,0.2320461873876491,0.981195977707181,0.029862518601070597,0.9699767650497341,0.43223401671327233,186,0.8618668028362731,314,0.9818255876869618,1139,0.9495099628842473,0.1844347730824184,True
s0.04_b1.65_h1.25_i1.25,1.65,1.25,1.25,0.04,5243,5180,38,0.65,0.6278730300118447,0,0.9640404680322568,0.21491103925831773,0.23040596754421913,0.974539347444554,0.0291918172299849,0.964556307661246,0.42850717305719943,186,0.8544792059516653,314,0.976026670954619,1139,0.9443350386747634,0.1849990615123098,True
s0.04_b0.90_h1.25_i0.75,0.9,1.25,0.75,0.04,5243,5234,1,0.6426450075958384,0.6251128883425655,0,0.9640288442276497,0.21491638023669865,0.23041765756799243,0.9747367814437202,0.02926586530327227,0.9654371524115202,0.42655099948501723,186,0.8512536558082454,314,0.9771710634493623,1139,0.945541496993515,0.18505370601339424,True
s0.04_b1.15_h0.75_i1.00,1.15,0.75,1.0,0.04,5243,5188,38,0.6493955169814678,0.6279664143282913,0,0.963781558503269,0.21485909805443743,0.23035494403398754,0.9742153061483753,0.029179306559976883,0.9646994524126421,0.42901485783844706,186,0.8542823760526939,314,0.9762551592022384,1139,0.9446902576952394,0.18563425324100555,True
s0.08_b1.65_h1.25_i0.75,1.65,1.25,0.75,0.08,5243,4910,89,0.65,0.6318699526174455,0,0.9631764362008066,0.21463413782976778,0.22994586424484595,0.9741994859686831,0.028903676719147394,0.9609476162087986,0.42486168483151615,186,0.8588725350353362,314,0.965378298139311,1139,0.9364708372832878,0.18612428633469025,True
s0.04_b1.15_h1.00_i1.00,1.15,1.0,1.0,0.04,5243,5209,20,0.6467821770371871,0.6266833445323621,0,0.9634715074907872,0.2147896470127338,0.23027944406583495,0.9739864894588364,0.029162540082287927,0.9645114868062962,0.42794037499552146,186,0.8529661879945823,314,0.9760906516399351,1139,0.9445091900655339,0.18631143934708294,True
s0.04_b1.15_h1.25_i1.00,1.15,1.25,1.0,0.04,5243,5221,10,0.644583993736161,0.6257679054966231,0,0.9631877103972937,0.21472622565890456,0.23021027497590593,0.973773094418231,0.029146684312500223,0.964346087991146,0.4271506155435022,186,0.8518979689173679,314,0.9759341546495002,1139,0.944351527837526,0.18693219076627704,True
s0.04_b1.40_h0.75_i1.25,1.4,0.75,1.25,0.04,5243,5170,55,0.65,0.6286192005993628,0,0.9631171064779352,0.21470908806171635,0.23019053606762552,0.9734761227122779,0.029090250082048137,0.9638913870874868,0.4295825282375366,186,0.8548335697527564,314,0.9753447500924235,1139,0.94382748680924,0.18711486188196147,True
s0.04_b1.40_h1.00_i1.25,1.4,1.0,1.25,0.04,5243,5197,32,0.6493325079308208,0.6273189082392044,0,0.9628472680468574,0.21464876098306396,0.23012562936531572,0.9732800475508696,0.029076443955132,0.9637241632664891,0.42849664712556623,186,0.8535491812547096,314,0.9752139689476355,1139,0.9436690503373254,0.18770514709307726,True
s0.04_b1.40_h1.25_i1.25,1.4,1.25,1.25,0.04,5243,5214,17,0.6470176837620946,0.6263279321526218,0,0.9626015148867002,0.2145938733064104,0.2300662621379735,0.973098247157946,0.029063351208530794,0.9635762609529884,0.42768218195852903,186,0.8524838663868255,314,0.9750886954974125,1139,0.943530258090476,0.18824304312479026,True
s0.04_b0.90_h0.75_i1.00,0.9,0.75,1.0,0.04,5243,5227,10,0.6452704204011374,0.6259651834386707,0,0.9620218810437899,0.21447118540346577,0.22993874017138735,0.9724671165679525,0.029024824952046255,0.9635192216709417,0.4278249193857058,186,0.8517099952499732,314,0.9751110521491145,1139,0.9437068042159259,0.1895978161065028,True
s0.04_b0.90_h1.00_i1.00,0.9,1.0,1.0,0.04,5243,5238,2,0.6430130095799388,0.6249791215069265,0,0.9617490058196931,0.21441027312974162,0.22987261175201246,0.9722644052071155,0.029010110039737705,0.9633575388383211,0.4269321743523734,186,0.8506382360867797,314,0.9749641394916684,1139,0.9435495184112997,0.19019492862462506,True
s0.08_b1.40_h0.75_i0.75,1.4,0.75,0.75,0.08,5243,4992,140,0.65,0.635524586131615,0,0.9613307247664448,0.21422376967219112,0.22949655539208288,0.9719176375138863,0.02865799184283957,0.9594374387885076,0.42805207052140326,186,0.8611167765437324,314,0.9637126622378966,1139,0.9352440937550285,0.19033420008353635,True
