layer_id,expert_count,route_observed_expert_count,mean_combined_relative_delta,p95_combined_relative_delta,max_combined_relative_delta,mean_combined_cosine,min_combined_cosine,mean_internal_geometry_risk_score,max_internal_geometry_risk_score,mean_route_geometry_risk_score,max_route_geometry_risk_score,route_mass_weighted_internal_geometry_risk_score,route_mass_weighted_route_geometry_risk_score,high_internal_geometry_risk_experts,high_route_geometry_risk_experts,route_mass_sum
5,128,109,1.0814215800638707,1.2243431481666278,1.3598098944385466,0.36168979732088335,0.0013652337446315255,0.5290054362398448,0.9555042532365163,0.46845832808902166,0.8318750177954208,0.518506646098312,0.5892114467866,9,3,11.999999999999973
4,128,112,1.0818185166836725,1.182200451202028,1.298835638931838,0.3635442265594466,0.0664794161904709,0.522213764537284,0.8742041097493455,0.48036587460572666,0.8117161124426981,0.4859283650157143,0.5867483112353887,3,3,11.999999999999972
34,128,113,1.0410948657133394,1.2168827184042756,1.2664994759889499,0.4257634139980699,0.1722613518444202,0.4876276039480486,0.8245122914798871,0.4607711578921661,0.8507371126032248,0.49296274826047004,0.5794664605261927,9,4,11.999999999999975
35,128,109,1.0337497261929474,1.1904108022130335,1.2562405720499643,0.4316555524882676,0.2002382235552625,0.4720437589070243,0.8102282223965137,0.44737610353061985,0.8109198579865681,0.46561086073257457,0.566462641555539,2,3,11.999999999999973
3,128,116,1.0748242335076317,1.1386963807897708,1.1735684158982542,0.37797744588890436,0.2635690319172643,0.5021298287052782,0.6708865475365893,0.4603955921529498,0.7242590134840279,0.4722121708584743,0.5554518103175402,0,0,11.99999999999997
1,128,119,1.062839610460791,1.1306807962051753,1.2690526527770423,0.3839877665474378,0.12421418456235282,0.4928210669747509,0.951004361390866,0.4604838411857646,0.7623021116874715,0.48971751910543426,0.5444484940150409,2,1,11.999999999999966
36,128,114,1.0133777236698631,1.1583761294207202,1.1929535822884407,0.44960067471695914,0.2521652713896582,0.4335005202189464,0.7132100073818706,0.4329467747246749,0.7421625791428437,0.409997756367294,0.5443117143791012,0,0,11.999999999999973
2,128,110,1.060920015908829,1.1647630615547597,1.3899017255524813,0.3801857709270512,0.002243837013167789,0.500607191223006,1.0,0.4415860479068391,0.6981143261675407,0.48225056651054665,0.5359697950212569,4,0,11.99999999999997
0,128,119,1.0400366876837437,1.129556125453528,1.1971618263189243,0.39411534783318813,0.183299906703794,0.5120279947194181,0.8234059312727753,0.44572936316067,0.8081032101765669,0.5147740248854968,0.533646036648916,3,1,11.999999999999966
46,128,107,0.8972236920673132,1.0650368862092638,1.106038180223572,0.5635147615256443,0.3468703602417806,0.25989790549655106,0.6522303571426075,0.34502850518973777,0.6942756689286808,0.29219563547181526,0.4966670498735796,0,0,11.999999999999975
38,128,100,0.9670718616841868,1.1243646627902377,1.1764249202162993,0.49920888334977687,0.2795650016103787,0.35776481657218284,0.6861527140616638,0.36627522560269543,0.6905918301708328,0.33253850199277035,0.4943208813053526,0,0,11.999999999999975
45,128,106,0.8932613011013351,1.0284568012869197,1.1340036433854743,0.5694646604886462,0.3078402474043555,0.23095283344199796,0.6549199429258434,0.3226442895547442,0.7142497999208702,0.2482302596929704,0.4917158550125783,0,0,11.999999999999979
37,128,110,0.9754401275325788,1.1614373911843592,1.2272872351916855,0.488728571411975,0.21155158143454011,0.383893451011457,0.761363046861696,0.36992837848653365,0.7224704663299505,0.37821233712421837,0.48610008625876594,1,0,11.999999999999975
47,128,105,0.8856510170206988,1.1036637151481763,1.163192489637296,0.5718137034778688,0.30670309211779373,0.2885343487316211,0.6389926245891613,0.3500963349756563,0.7522282614566059,0.27752849968310617,0.4806086605675451,0,1,11.999999999999972
39,128,108,0.9269363338369304,1.10491308504144,1.1554662418320378,0.5382396679319517,0.27966843192008356,0.29073734390652417,0.6437930520806565,0.3401474169978642,0.712318804213353,0.2736505643213249,0.4620140675708522,0,0,11.999999999999977
44,128,108,0.8842122975381395,1.021410067210447,1.1917577120998282,0.578817170629429,0.2504195361693862,0.21569490445498601,0.7349193642278328,0.3155164978414572,0.6334535021715832,0.22510611223376115,0.45233928683722474,0,0,11.999999999999973
43,128,112,0.8730737563468056,1.0051805910113316,1.1904979605051769,0.5894013541951468,0.26106461546059956,0.20138031241862686,0.6727749791607129,0.31347459970881586,0.6502424856383214,0.2193459221981091,0.4476649709666826,0,0,11.999999999999973
40,128,102,0.9039883631836463,1.0803839356168847,1.1676599645653971,0.5592903600630865,0.29809805769391307,0.26235094517748675,0.7189304569220125,0.32039327600079837,0.633557458346356,0.25184926523248136,0.43784430493662824,0,0,11.999999999999975
42,128,105,0.8786295967005794,1.0450916596308797,1.122352440089721,0.5817218081384732,0.32637062441709846,0.22507566002289467,0.5758439311421607,0.3033236718423198,0.645968428418518,0.22932854643543402,0.4331950926357015,0,0,11.999999999999975
41,128,103,0.8785188255790792,1.0536322171646963,1.213724877662102,0.5822599365009814,0.22437977837982434,0.22680895164572362,0.7431812107290389,0.2971887259285001,0.629358805850823,0.22092453184445981,0.413674967452453,0,0,11.999999999999975
