layer,expert,tensor_count,changed_tensors,max_relative_delta_norm,mean_relative_delta_norm,target_cap,delta_scale,scaled,predicted_max_relative_delta_norm
1,5,3,3,0.0801696775216633,0.07662536499748894,0.65,1.0,False,0.0801696775216633
1,6,3,3,0.2747414955603434,0.2677618596793882,0.65,1.0,False,0.2747414955603434
1,7,3,3,0.1832979961366483,0.1807621780294579,0.65,1.0,False,0.1832979961366483
1,8,3,3,0.3229880025690048,0.3111886478197648,0.65,1.0,False,0.3229880025690048
1,9,3,3,0.3512149522037815,0.3401411024743717,0.65,1.0,False,0.3512149522037815
1,10,3,3,0.1641791527769631,0.15953992845468484,0.65,1.0,False,0.1641791527769631
1,11,3,3,0.0518588281756461,0.04950159035695273,0.65,1.0,False,0.0518588281756461
1,12,3,0,0.0,0.0,0.65,1.0,False,0.0
1,13,3,3,0.1799084827741087,0.17122928988714617,0.65,1.0,False,0.1799084827741087
1,14,3,3,0.0811735978633282,0.08031398781437853,0.65,1.0,False,0.0811735978633282
1,15,3,3,0.3299227142621362,0.3207098033212395,0.65,1.0,False,0.3299227142621362
1,16,3,3,0.4196434098476178,0.408587307335772,0.65,1.0,False,0.4196434098476178
1,17,3,3,0.2082319244340721,0.20554329512605884,0.65,1.0,False,0.2082319244340721
1,18,3,3,0.2976250723018264,0.293389957095759,0.65,1.0,False,0.2976250723018264
1,19,3,3,0.3479373847114604,0.3345354995604842,0.65,1.0,False,0.3479373847114604
1,20,3,3,0.2333487417847438,0.22469874563863942,0.65,1.0,False,0.2333487417847438
1,21,3,0,0.0,0.0,0.65,1.0,False,0.0
1,22,3,0,0.0,0.0,0.65,1.0,False,0.0
1,23,3,3,0.3803684436304061,0.3699206484561533,0.65,1.0,False,0.3803684436304061
1,24,3,0,0.0,0.0,0.65,1.0,False,0.0
1,25,3,3,0.4911645740596024,0.47683291776226505,0.65,1.0,False,0.4911645740596024
1,26,3,3,0.103478154168915,0.09943200182527523,0.65,1.0,False,0.103478154168915
1,27,3,0,0.0,0.0,0.65,1.0,False,0.0
1,28,3,3,0.3208302708966421,0.3096270081791029,0.65,1.0,False,0.3208302708966421
1,29,3,3,0.3125296723871956,0.3028805095818108,0.65,1.0,False,0.3125296723871956
1,30,3,3,0.1777523322243626,0.17557099128705764,0.65,1.0,False,0.1777523322243626
1,31,3,3,0.0500022196481871,0.0486607097613272,0.65,1.0,False,0.0500022196481871
1,32,3,3,0.3046791391374374,0.29450685450390435,0.65,1.0,False,0.3046791391374374
1,33,3,0,0.0,0.0,0.65,1.0,False,0.0
1,34,3,3,0.2942119357388912,0.2823748432902455,0.65,1.0,False,0.2942119357388912
1,35,3,0,0.0,0.0,0.65,1.0,False,0.0
1,36,3,3,0.4798474029835281,0.46374852080610385,0.65,1.0,False,0.4798474029835281
1,37,3,3,0.1349145520170039,0.12886945782687168,0.65,1.0,False,0.1349145520170039
1,38,3,3,0.242986672204055,0.23619840223995905,0.65,1.0,False,0.242986672204055
1,39,3,3,0.0882679065997719,0.08436304417496526,0.65,1.0,False,0.0882679065997719
1,40,3,0,0.0,0.0,0.65,1.0,False,0.0
1,41,3,3,0.3046754619910418,0.294361574926074,0.65,1.0,False,0.3046754619910418
1,42,3,0,0.0,0.0,0.65,1.0,False,0.0
1,43,3,0,0.0,0.0,0.65,1.0,False,0.0
1,44,3,0,0.0,0.0,0.65,1.0,False,0.0
1,45,3,3,0.2086763816414608,0.20180702529124486,0.65,1.0,False,0.2086763816414608
1,46,3,3,0.1064461689646583,0.1031053157351622,0.65,1.0,False,0.1064461689646583
1,47,3,0,0.0,0.0,0.65,1.0,False,0.0
1,48,3,3,0.3322651983501037,0.3228167038353187,0.65,1.0,False,0.3322651983501037
1,49,3,3,0.5999934174958013,0.5798272550084054,0.65,1.0,False,0.5999934174958013
1,50,3,3,0.445173597123605,0.4320456152915167,0.65,1.0,False,0.445173597123605
1,51,3,0,0.0,0.0,0.65,1.0,False,0.0
1,52,3,3,0.3018814672161932,0.29862690702584044,0.65,1.0,False,0.3018814672161932
1,53,3,3,0.2882900752042103,0.28054890133649374,0.65,1.0,False,0.2882900752042103
1,54,3,0,0.0,0.0,0.65,1.0,False,0.0
1,55,3,3,0.3539748207221701,0.3450971950229354,0.65,1.0,False,0.3539748207221701
1,56,3,3,0.2386569377564839,0.22972105664346346,0.65,1.0,False,0.2386569377564839
1,57,3,3,0.1383887235906261,0.13283806146961244,0.65,1.0,False,0.1383887235906261
1,58,3,3,0.3446127800532265,0.33402616298363846,0.65,1.0,False,0.3446127800532265
1,59,3,3,0.4979734749663768,0.4851007124437425,0.65,1.0,False,0.4979734749663768
1,60,3,3,0.1257429020490798,0.12204250750357311,0.65,1.0,False,0.1257429020490798
1,61,3,0,0.0,0.0,0.65,1.0,False,0.0
1,62,3,3,0.2085681315828619,0.20208678734766694,0.65,1.0,False,0.2085681315828619
