pattern,layer,expert,old_nonbase_weight,new_nonbase_weight,delta_scale,scaled,max_relative_delta_norm,predicted_max_relative_delta_norm
.*layers\.1\..*experts\.36\..*,1.0,36.0,0.42565,0.42565,1.0,False,0.4798474029835281,0.4798474029835281
.*layers\.1\..*experts\.37\..*,1.0,37.0,0.121628,0.121628,1.0,False,0.1349145520170039,0.1349145520170039
.*layers\.1\..*experts\.38\..*,1.0,38.0,0.217705,0.217705,1.0,False,0.242986672204055,0.242986672204055
.*layers\.1\..*experts\.39\..*,1.0,39.0,0.0804695,0.0804695,1.0,False,0.0882679065997719,0.0882679065997719
.*layers\.1\..*experts\.41\..*,1.0,41.0,0.291427,0.291427,1.0,False,0.3046754619910418,0.3046754619910418
.*layers\.1\..*experts\.42\..*,1.0,42.0,0.0,0.0,1.0,False,0.0,0.0
.*layers\.1\..*experts\.43\..*,1.0,43.0,0.0,0.0,1.0,False,0.0,0.0
.*layers\.1\..*experts\.44\..*,1.0,44.0,0.0,0.0,1.0,False,0.0,0.0
.*layers\.1\..*experts\.45\..*,1.0,45.0,0.191697,0.191697,1.0,False,0.2086763816414608,0.2086763816414608
.*layers\.1\..*experts\.46\..*,1.0,46.0,0.0969903,0.0969903,1.0,False,0.1064461689646583,0.1064461689646583
.*layers\.1\..*experts\.47\..*,1.0,47.0,0.0,0.0,1.0,False,0.0,0.0
.*layers\.1\..*experts\.48\..*,1.0,48.0,0.308054,0.308054,1.0,False,0.3322651983501037,0.3322651983501037
.*layers\.1\..*experts\.49\..*,1.0,49.0,0.56944,0.56944,1.0,False,0.5999934174958013,0.5999934174958013
.*layers\.1\..*experts\.50\..*,1.0,50.0,0.403073,0.403073,1.0,False,0.445173597123605,0.445173597123605
.*layers\.1\..*experts\.51\..*,1.0,51.0,0.0,0.0,1.0,False,0.0,0.0
.*layers\.1\..*experts\.52\..*,1.0,52.0,0.276529,0.276529,1.0,False,0.3018814672161932,0.3018814672161932
.*layers\.1\..*experts\.53\..*,1.0,53.0,0.271871,0.271871,1.0,False,0.2882900752042103,0.2882900752042103
.*layers\.1\..*experts\.54\..*,1.0,54.0,0.0,0.0,1.0,False,0.0,0.0
.*layers\.1\..*experts\.55\..*,1.0,55.0,0.332579,0.332579,1.0,False,0.3539748207221701,0.3539748207221701
.*layers\.1\..*experts\.56\..*,1.0,56.0,0.214943,0.214943,1.0,False,0.2386569377564839,0.2386569377564839
.*layers\.1\..*experts\.57\..*,1.0,57.0,0.127188,0.127188,1.0,False,0.1383887235906261,0.1383887235906261
.*layers\.1\..*experts\.58\..*,1.0,58.0,0.338123,0.338123,1.0,False,0.3446127800532265,0.3446127800532265
.*layers\.1\..*experts\.59\..*,1.0,59.0,0.444206,0.444206,1.0,False,0.4979734749663768,0.4979734749663768
.*layers\.1\..*experts\.60\..*,1.0,60.0,0.114246,0.114246,1.0,False,0.1257429020490798,0.1257429020490798
.*layers\.1\..*experts\.61\..*,1.0,61.0,0.0,0.0,1.0,False,0.0,0.0
.*layers\.1\..*experts\.62\..*,1.0,62.0,0.188071,0.188071,1.0,False,0.2085681315828619,0.2085681315828619
.*layers\.1\..*experts\.63\..*,1.0,63.0,0.0,0.0,1.0,False,0.0,0.0
.*layers\.1\..*experts\.65\..*,1.0,65.0,0.0834728,0.0834728,1.0,False,0.0928550043868943,0.0928550043868943
.*layers\.1\..*experts\.66\..*,1.0,66.0,0.109258,0.109258,1.0,False,0.12017655934117,0.12017655934117
.*layers\.1\..*experts\.67\..*,1.0,67.0,0.133049,0.133049,1.0,False,0.1441388938828336,0.1441388938828336
.*layers\.1\..*experts\.68\..*,1.0,68.0,0.127997,0.127997,1.0,False,0.167631221138417,0.167631221138417
.*layers\.1\..*experts\.69\..*,1.0,69.0,0.349849,0.349849,1.0,False,0.3536681216396259,0.3536681216396259
.*layers\.1\..*experts\.70\..*,1.0,70.0,0.149173,0.149173,1.0,False,0.1664642061636486,0.1664642061636486
.*layers\.1\..*experts\.71\..*,1.0,71.0,0.195773,0.195773,1.0,False,0.2147442900172797,0.2147442900172797
.*layers\.1\..*experts\.72\..*,1.0,72.0,0.175304,0.175304,1.0,False,0.1844647375166756,0.1844647375166756
.*layers\.1\..*experts\.73\..*,1.0,73.0,0.0,0.0,1.0,False,0.0,0.0
.*layers\.1\..*experts\.74\..*,1.0,74.0,0.417898,0.417898,1.0,False,0.4447938000061714,0.4447938000061714
.*layers\.1\..*experts\.75\..*,1.0,75.0,0.345602,0.345602,1.0,False,0.3655264989085319,0.3655264989085319
.*layers\.1\..*experts\.76\..*,1.0,76.0,0.278799,0.278799,1.0,False,0.3038152243063193,0.3038152243063193
.*layers\.1\..*experts\.77\..*,1.0,77.0,0.17667,0.17667,1.0,False,0.1974101943969798,0.1974101943969798
.*layers\.1\..*experts\.78\..*,1.0,78.0,0.243118,0.243118,1.0,False,0.2474257256011112,0.2474257256011112
.*layers\.1\..*experts\.79\..*,1.0,79.0,0.579764,0.579764,1.0,False,0.6200030926226144,0.6200030926226144
.*layers\.1\..*experts\.80\..*,1.0,80.0,0.151073,0.151073,1.0,False,0.1681349995697539,0.1681349995697539
.*layers\.1\..*experts\.82\..*,1.0,82.0,0.220736,0.220736,1.0,False,0.2483583906010738,0.2483583906010738
.*layers\.1\..*experts\.83\..*,1.0,83.0,0.319451,0.319451,1.0,False,0.3131387004086497,0.3131387004086497
.*layers\.1\..*experts\.85\..*,1.0,85.0,0.200889,0.200889,1.0,False,0.2242743688468664,0.2242743688468664
.*layers\.1\..*experts\.86\..*,1.0,86.0,0.146619,0.146619,1.0,False,0.1555854650867758,0.1555854650867758
.*layers\.1\..*experts\.87\..*,1.0,87.0,0.0966956,0.0966956,1.0,False,0.1130315254054996,0.1130315254054996
.*layers\.1\..*experts\.88\..*,1.0,88.0,0.230272,0.230272,1.0,False,0.256212429261231,0.256212429261231
.*layers\.1\..*experts\.89\..*,1.0,89.0,0.114685,0.114685,1.0,False,0.125732970790644,0.125732970790644
.*layers\.1\..*experts\.90\..*,1.0,90.0,0.0765097,0.0765097,1.0,False,0.0903954582874612,0.0903954582874612
.*layers\.1\..*experts\.91\..*,1.0,91.0,0.346303,0.346303,1.0,False,0.3714100702560177,0.3714100702560177
.*layers\.1\..*experts\.92\..*,1.0,92.0,0.0,0.0,1.0,False,0.0,0.0
.*layers\.1\..*experts\.94\..*,1.0,94.0,0.132554,0.132554,1.0,False,0.1410502202401368,0.1410502202401368
.*layers\.1\..*experts\.95\..*,1.0,95.0,0.0,0.0,1.0,False,0.0,0.0
.*layers\.1\..*experts\.96\..*,1.0,96.0,0.511585,0.511585,1.0,False,0.6114035524132969,0.6114035524132969
.*layers\.1\..*experts\.97\..*,1.0,97.0,0.132404,0.132404,1.0,False,0.1427521918823376,0.1427521918823376
.*layers\.1\..*experts\.98\..*,1.0,98.0,0.122573,0.122573,1.0,False,0.1349040049760618,0.1349040049760618
.*layers\.1\..*experts\.99\..*,1.0,99.0,0.338951,0.338951,1.0,False,0.3459502592851376,0.3459502592851376
.*layers\.1\..*experts\.101\..*,1.0,101.0,0.205515,0.205515,1.0,False,0.2276146791054599,0.2276146791054599
.*layers\.1\..*experts\.102\..*,1.0,102.0,0.0,0.0,1.0,False,0.0,0.0
.*layers\.1\..*experts\.103\..*,1.0,103.0,0.18728,0.18728,1.0,False,0.2035884412325993,0.2035884412325993
