group_count,route_mass,weighted_boundary_fragility,weighted_safe_lambda_proxy,weighted_router_instability_feature,weighted_scale,weighted_scale_shrink,weighted_expected_delta,weighted_benefit,weighted_curvature,weighted_interference,layer_id,boundary_fragility_score,safe_lambda_proxy,unsafe_fraction,fragility_rank,router_margin_action,route_mass_weighted_router_undercoverage,route_mass_weighted_router_residual_pressure,router_coupled_risk_sum,top_expert_id
112,11.999999999999972,0.7025566226107389,0.030816011107679897,0.6705629166978864,0.9818761606966624,0.01055811361806901,0.21868446427143026,0.3516278592460886,0.4852472266323746,0.3996256378880532,4,0.702556622610739,0.0308160111076799,0.9166666666666666,8,freeze_router,0.1783060787693426,0.05536667644975303,4.691670381431715,104
106,11.999999999999977,0.6389072827977941,0.043227967392275905,0.6618339212375193,0.9826792114152745,0.011525394743658905,0.22570863658750828,0.3585461140337027,0.5338807091277488,0.4224790073035785,9,0.638907282797794,0.0432279673922759,0.9166666666666666,19,freeze_router,0.012189534905389097,0.005144820772253553,4.37017863709485,10
114,11.999999999999975,0.6437373090713653,0.0476791985803765,0.5870988837322022,0.9742390975229676,0.019046378195025266,0.22787336041795575,0.3426100623233864,0.5378088416888189,0.5264309909016014,10,0.6437373090713654,0.0476791985803765,1.0,17,freeze_router_prioritize_calibration,0.10181167943238675,0.0394322317518858,4.322897391550365,53
108,11.999999999999979,0.6292831220772809,0.043099047449274286,0.656716752704157,0.9815651951306706,0.012080836692541588,0.22114569999899317,0.3367544149660466,0.4923908823637449,0.40621261073679094,7,0.6292831220772809,0.0430990474492743,0.8333333333333334,23,freeze_router,0.0,0.0,4.175992645716312,109
113,11.99999999999998,0.4995590033061621,0.05,0.8024251602694816,0.9729674710307501,0.01724804456012334,0.21116765766518136,0.3546801964814993,0.4977024564614842,0.5125204721985455,31,0.4995590033061621,0.05,0.9166666666666666,34,freeze_router,0.0,0.0,3.9191501578273606,9
105,11.999999999999973,0.6663898557431376,0.032383495617445295,0.6327655123509351,0.993554959464654,0.005305000299552535,0.17766707408692572,0.3626455276818637,0.3533850611492709,0.3322136932886463,47,0.6663898557431377,0.0323834956174453,1.0,15,freeze_router_prioritize_calibration,0.11745801661210231,0.0336862009194418,3.9006392761712996,105
109,11.99999999999997,0.5526210796949673,0.05000000000000001,0.7050357637624552,0.9855385709523939,0.01098839880347377,0.21390337295333622,0.3394664763840217,0.46679973021920673,0.3998408084256652,35,0.5526210796949671,0.05,1.0,32,freeze_router,0.0,0.0,3.774477240483904,21
107,11.999999999999975,0.5734041716015347,0.05,0.7180635387189064,0.9904091219474758,0.006841319527149881,0.18837824435538636,0.3464054068698429,0.3818562349209796,0.3497980409512673,46,0.5734041716015348,0.05,0.8333333333333334,31,freeze_router,0.0,0.0,3.7290446133240183,75
112,11.999999999999975,0.611706790114033,0.039831548194123205,0.5381438585904867,0.9840640225919911,0.009796563948223017,0.22210905506487094,0.3615474281903946,0.49290826954428063,0.39995706421120975,6,0.6117067901140328,0.0398315481941232,0.9166666666666666,25,freeze_router,0.06373532443687471,0.025267110619205453,3.61363287609479,8
113,11.999999999999972,0.4864069751203654,0.05000000000000002,0.670101170284955,0.9765369007988051,0.016706518703236136,0.20881994571715606,0.3444841477440009,0.47618487537883686,0.4905010377436288,34,0.4864069751203654,0.05,0.9166666666666666,39,freeze_router,0.0,0.0,3.3662596122576236,98
107,11.999999999999977,0.6342819324179405,0.04072807752936809,0.40843332561686535,0.9840247418433588,0.01059071704986566,0.23012799259795658,0.34885534580132194,0.5086394905032683,0.39993724533855624,8,0.6342819324179406,0.0407280775293681,0.8333333333333334,22,freeze_router,0.2583117330643403,0.10801935194665518,3.283252697496113,38
109,11.999999999999973,0.5796376499260428,0.0428017125109017,0.4737979619710419,0.9878309857948412,0.010905209130505177,0.22774643248699314,0.3351375689163995,0.4826227095985874,0.39590831541013777,5,0.5796376499260427,0.0428017125109017,0.75,30,freeze_router,0.0412741131298155,0.013870288137863129,3.175475799469378,13
119,11.999999999999966,0.5906180643775373,0.03754862816558781,0.4572804030246441,0.9885918485127114,0.010671167693582444,0.22661060318288417,0.3194223269643992,0.44806341255117327,0.37228714104920824,1,0.5906180643775372,0.0375486281655878,0.5833333333333334,29,freeze_router,0.08834201547525415,0.02217188634674053,3.0740099673086587,45
114,11.999999999999972,0.4801799651852613,0.05,0.6074642918806943,0.9821875259527579,0.014126439636753373,0.20154854230658237,0.35831238406378935,0.4313551666026978,0.46943741280012974,36,0.4801799651852612,0.05,1.0,40,freeze_router,0.0,0.0,3.0477807434097337,65
109,11.99999999999998,0.5020902252993146,0.04999999999999999,0.5137339183538099,0.9869142852260199,0.009226482394195915,0.22001981353474415,0.37472859707448525,0.48728462453118604,0.3920827419082567,32,0.5020902252993147,0.05,0.75,33,freeze_router,0.0,0.0,2.872209950270315,38
106,11.999999999999979,0.4941952072671261,0.049999999999999996,0.590125355375917,0.9923498194335555,0.00407665959009274,0.18917910335444824,0.3755939865767904,0.3600324914780402,0.3308546920566105,45,0.4941952072671262,0.05,0.9166666666666666,37,freeze_router,0.0,0.0,2.774122138476845,82
116,11.999999999999968,0.49805067531435365,0.05000000000000001,0.43500354651759177,0.9872107562390086,0.009760862484864673,0.2218569652442491,0.3261730543153185,0.447591275525586,0.3680406022050719,3,0.4980506753143536,0.05,0.5,36,freeze_router,0.0,0.0,2.5186008831783506,16
109,11.999999999999979,0.429587283988726,0.05,0.45603575379612593,0.9863373877646603,0.00833461180123354,0.21573585764320743,0.36070998873769067,0.4705314352425559,0.38082272445141063,33,0.429587283988726,0.05,1.0,44,freeze_router,0.0,0.0,2.272635728776476,10
