layer_id,expert_id,dominant_source,dominant_category,total_topk_fraction,boundary_fragility_score,safe_lambda_proxy,feature_router_instability,router_undercoverage,router_coupled_risk,router_residual_pressure,prior_scale,mechanistic_selected_scale,scale_shrink,benefit_score,curvature_score,interference_score,mechanistic_expected_max_relative_delta_norm,mechanistic_reason,trust_risk_flags
16,115,instruct,safety,0.7046892477655822,0.6523533636196356,0.05,0.7373787146523824,0.0,0.3137353372076745,0.0,1.0,0.9812371871031358,0.01876281289686421,0.3449404944453682,0.6673714053631081,0.587746898767151,0.0756972412528165,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
19,59,instruct,safety,0.5872116230196385,0.6910587222117991,0.0435500875772565,0.936549160555976,0.0,0.3133509853897528,0.0,1.0,0.9814260134645896,0.018573986535410425,0.4100356875299782,0.5914899919919823,0.6241524528304386,0.2421830059585673,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
14,6,instruct,safety,0.5888665296860163,0.6738385844590983,0.0444305271260828,0.9220238175351751,0.0,0.3100646055328222,0.0,1.0,0.9792945688645898,0.020705431135410235,0.4657290482838911,0.603191939233584,0.678403902254152,0.3759755762737789,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
6,8,instruct,code,0.964243007467597,0.6117067901140328,0.0398315481941232,0.5381438585904866,0.06373532443687469,0.308944926092897,0.0914005815939133,1.0,0.99917741138341,0.0008225886165900143,0.5793594577349128,0.5315995312361521,0.487244118836348,0.3087082179666315,balanced,high_load_expert|shared_mixed_expert
8,38,instruct,general,0.940027549156442,0.6342819324179406,0.0407280775293681,0.4084333256168654,0.25831173306434035,0.30508064288283093,0.37511265474129324,1.0,0.9876311427736558,0.012368857226344177,0.4398078280445066,0.6850048589199551,0.5448168610529944,0.2587569771351709,balanced,high_load_expert|shared_mixed_expert
30,8,instruct,code,0.6707890059629837,0.6008843998759511,0.05,0.8502874603940248,0.0,0.30169806974650765,0.0,1.0,0.9863519405717912,0.013648059428208792,0.607558624530473,0.6085603980258192,0.6848913045930498,0.3732893296687163,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
32,38,instruct,math,1.1390573362839418,0.5020902252993147,0.05,0.51373391835381,0.0,0.2996362970866704,0.0,1.0,0.9935727797463632,0.006427220253636845,0.4749125937873136,0.5783342450492612,0.4898880124177576,0.259897169908801,balanced,high_load_expert|shared_mixed_expert
23,96,instruct,safety,0.6232000925126964,0.6413009152389366,0.05,0.864864866751547,0.0,0.298232186316771,0.0,1.0,0.9808891315665326,0.01911086843346743,0.3442581198958582,0.6622742305183231,0.5928640683981365,0.0730934606344092,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
24,56,instruct,safety,0.572748750947791,0.6789523527185288,0.0392231643279266,0.9099099082590628,0.0,0.29188615311254545,0.0,1.0,0.9824436434225104,0.01755635657748955,0.4068067427860966,0.5742773221371062,0.6083131235731645,0.2244660908978504,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
18,64,instruct,safety,0.5281775869199393,0.7267264234701402,0.0391078749531843,0.8973962096945233,0.01306805283524548,0.2909653149547897,0.011215109950981069,1.0,0.9812819847830122,0.018718015216987793,0.4096771796180231,0.6125070693930568,0.6248477969433941,0.2456775811388221,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
19,18,instruct,math,0.5539548110051793,0.6910587222117991,0.0435500875772565,0.936549160555976,0.0,0.2879432495893202,0.0,1.0,0.9877164198172206,0.012283580182779419,0.4810762024401825,0.5512730711857468,0.5843197095334234,0.2623069443490631,route_important_fragile_boundary,high_load_expert|fragile_router_layer
12,56,instruct,code,0.5496415947326676,0.7180486088801276,0.0337791466524588,0.790471981734179,0.09842458030850887,0.28494094291314515,0.08951284340569092,1.0,0.9868123333391552,0.01318766666084481,0.5455348902969497,0.6523161882926559,0.6546349377676203,0.2466364427798637,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
13,42,instruct,code,0.5706551908880881,0.7121989834961976,0.0383809671425183,0.7728592675927292,0.10032926119353558,0.2827699605309405,0.0926525201636176,1.0,0.9892416187283152,0.010758381271684825,0.541733467320449,0.6190249499104945,0.6182881365336031,0.226333888795708,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
17,18,instruct,safety,0.5054870663494825,0.7522782693160674,0.0261472695616825,0.8117491346958773,0.17082066316788658,0.28113014512579326,0.1416750267316299,1.0,0.9789444472577704,0.02105555274222959,0.3705044614198331,0.6929374477063881,0.6407516576512919,0.1537983898486745,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
14,75,instruct,safety,0.5538980190415808,0.6738385844590983,0.0444305271260828,0.9220238175351751,0.0,0.27721380921320005,0.0,1.0,0.9843350094125292,0.01566499058747084,0.3562950129500556,0.5787802073176194,0.5480798932607761,0.0997270248028098,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
29,18,instruct,safety,0.5623524896381887,0.6909916965645019,0.0396018799605637,0.8048417441917518,0.009340908837128126,0.27705448917899717,0.008374856155509066,1.0,0.9815592449799276,0.018440755020072364,0.3622620876983025,0.6479434195174303,0.5943350753039054,0.126190412632456,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
34,98,instruct,safety,0.8935797047316788,0.4864069751203654,0.05,0.6701011702849549,0.0,0.27575391775261904,0.0,1.0,0.982637876491804,0.017362123508195992,0.4066273304247519,0.5954146332187444,0.6021315988255448,0.2371441549243438,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
17,102,instruct,safety,0.5271519102421491,0.7522782693160674,0.0261472695616825,0.8117491346958773,0.17082066316788658,0.2727073107840538,0.13939135785918402,1.0,0.9846610238840456,0.015338976115954361,0.363755650618994,0.5792371998488774,0.5479597377297474,0.1208758250581634,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
13,77,instruct,general,0.5646205148786139,0.7121989834961976,0.0383809671425183,0.7728592675927292,0.10032926119353558,0.2655525240034545,0.08916398851610129,1.0,0.9871900119053528,0.012809988094647173,0.4565027043597456,0.5217906731590611,0.5740017807005141,0.2524616088695072,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
22,26,instruct,safety,0.4846876024420514,0.6759821871522769,0.05,0.9789789719039208,0.0,0.2636237197720131,0.0,1.0,0.9806490387283874,0.01935096127161262,0.3602155397766519,0.6525871860829345,0.6079089104989296,0.1178640814926984,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
15,120,instruct,safety,0.5012496962622099,0.7040261505411557,0.043752579922969,0.898250954750829,0.0,0.2630404134997899,0.0,1.0,0.9828466777080832,0.017153322291916795,0.3564202738423584,0.6141615167725303,0.5708691336960987,0.1041256277164612,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
27,120,instruct,safety,0.5766984242815022,0.637854889478782,0.05,0.8339231892790829,0.0,0.2591605586088126,0.0,1.0,0.9836742365128563,0.016325763487143652,0.3465379486316841,0.5993112144104162,0.550954379192931,0.07700972160513,route_important_fragile_boundary,high_load_expert|shared_mixed_expert|fragile_router_layer
4,104,instruct,code,0.605926855576292,0.702556622610739,0.0308160111076799,0.6705629166978864,0.17830607876934257,0.2549644267385921,0.16047999280327466,1.0,0.9984749126443708,0.0015250873556291733,0.5474162696416598,0.5692354969146478,0.4853696483370671,0.2403070290025725,balanced,high_load_expert|shared_mixed_expert
