alpha,beta,living_loss,object_loss,living_acc,object_acc,avg_loss,worst_loss,avg_acc,worst_acc
0.3125,0.125,2.30442533493042,2.976445722579956,0.2875,0.090625,2.640435528755188,2.976445722579956,0.1890625,0.090625
0.3125,0.21875,2.4645399411519366,2.6480183601379395,0.221875,0.16875,2.5562791506449383,2.6480183601379395,0.1953125,0.16875
0.3125,0.3125,2.712655226389567,2.3606841564178467,0.13229166666666667,0.2640625,2.5366696914037066,2.712655226389567,0.19817708333333334,0.13229166666666667
0.3125,0.40625,3.0478833516438804,2.1344449520111084,0.051041666666666666,0.3234375,2.5911641518274946,3.0478833516438804,0.18723958333333332,0.051041666666666666
0.3125,0.5,3.4519983927408853,1.9717718601226806,0.021875,0.353125,2.711885126431783,3.4519983927408853,0.1875,0.021875
0.3125,0.59375,3.895376141866048,1.8620043754577638,0.003125,0.3671875,2.878690258661906,3.895376141866048,0.18515625,0.003125
0.3125,0.6875,4.348539733886719,1.7905409574508666,0.0,0.3703125,3.069540345668793,4.348539733886719,0.18515625,0.0
0.3125,0.78125,4.791090456644694,1.7446676969528199,0.0,0.365625,3.267879076798757,4.791090456644694,0.1828125,0.0
0.3125,0.875,5.213026746114095,1.7153186559677125,0.0,0.3609375,3.464172701040904,5.213026746114095,0.18046875,0.0
0.3125,0.96875,5.611227798461914,1.697058129310608,0.0,0.3671875,3.654142963886261,5.611227798461914,0.18359375,0.0
0.3125,1.0625,5.986782964070638,1.686658763885498,0.0,0.365625,3.8367208639780683,5.986782964070638,0.1828125,0.0
0.3125,1.15625,6.341543451944987,1.6824795961380006,0.0,0.3734375,4.012011524041494,6.341543451944987,0.18671875,0.0
0.3125,1.25,6.678172810872396,1.6838624715805053,0.0,0.3734375,4.18101764122645,6.678172810872396,0.18671875,0.0
0.40625,-0.25,2.176709047953288,4.276836585998535,0.2791666666666667,0.0,3.2267728169759113,4.276836585998535,0.13958333333333334,0.0
0.40625,-0.15625,2.1455407460530598,4.143425750732422,0.2947916666666667,0.003125,3.1444832483927407,4.143425750732422,0.14895833333333333,0.003125
0.40625,-0.0625,2.131680965423584,3.9264694690704345,0.3145833333333333,0.00625,3.0290752172470095,3.9264694690704345,0.16041666666666665,0.00625
0.40625,0.03125,2.146756394704183,3.6265789031982423,0.31979166666666664,0.009375,2.886667648951213,3.6265789031982423,0.16458333333333333,0.009375
0.40625,0.125,2.207563050587972,3.2671282291412354,0.30520833333333336,0.0375,2.7373456398646034,3.2671282291412354,0.17135416666666667,0.0375
0.40625,0.21875,2.3347917556762696,2.8913203716278075,0.2760416666666667,0.1109375,2.6130560636520386,2.8913203716278075,0.19348958333333333,0.1109375
0.40625,0.3125,2.548565069834391,2.5454126834869384,0.18645833333333334,0.196875,2.5469888766606648,2.548565069834391,0.19166666666666665,0.18645833333333334
0.40625,0.40625,2.8586798985799153,2.2618205547332764,0.10208333333333333,0.290625,2.5602502266565956,2.8586798985799153,0.19635416666666666,0.10208333333333333
0.40625,0.5,3.2556002934773765,2.052677631378174,0.035416666666666666,0.3328125,2.6541389624277754,3.2556002934773765,0.18411458333333333,0.035416666666666666
0.40625,0.59375,3.7116159439086913,1.9108248233795166,0.010416666666666666,0.3625,2.811220383644104,3.7116159439086913,0.18645833333333334,0.010416666666666666
0.40625,0.6875,4.192027918497721,1.8195454835891725,0.0,0.3625,3.005786701043447,4.192027918497721,0.18125,0.0
0.40625,0.78125,4.66858278910319,1.7624450206756592,0.0,0.3640625,3.2155139048894243,4.66858278910319,0.18203125,0.0
0.40625,0.875,5.124882952372233,1.7270487308502198,0.0,0.365625,3.4259658416112266,5.124882952372233,0.1828125,0.0
0.40625,0.96875,5.554685974121094,1.7055301427841187,0.0,0.3625,3.630108058452606,5.554685974121094,0.18125,0.0
0.40625,1.0625,5.95804697672526,1.6934657573699952,0.0,0.36875,3.8257563670476276,5.95804697672526,0.184375,0.0
0.40625,1.15625,6.336477533976237,1.6884612560272216,0.0,0.375,4.012469395001729,6.336477533976237,0.1875,0.0
0.40625,1.25,6.69332135518392,1.6892290353775024,0.0,0.365625,4.191275195280711,6.69332135518392,0.1828125,0.0
0.5,-0.25,2.141168403625488,4.572981262207032,0.28854166666666664,0.0,3.35707483291626,4.572981262207032,0.14427083333333332,0.0
0.5,-0.15625,2.107659180959066,4.461946487426758,0.30833333333333335,0.0,3.284802834192912,4.461946487426758,0.15416666666666667,0.0
0.5,-0.0625,2.08807373046875,4.266557598114014,0.325,0.003125,3.177315664291382,4.266557598114014,0.1640625,0.003125
0.5,0.03125,2.0916547775268555,3.9779138565063477,0.31979166666666664,0.00625,3.0347843170166016,3.9779138565063477,0.1630208333333333,0.00625
0.5,0.125,2.1323325475056967,3.6078539848327638,0.3145833333333333,0.0140625,2.8700932661692304,3.6078539848327638,0.16432291666666665,0.0140625
0.5,0.21875,2.228616460164388,3.1940918445587156,0.3,0.0546875,2.711354152361552,3.1940918445587156,0.17734375,0.0546875
0.5,0.3125,2.4030011177062987,2.788813924789429,0.240625,0.121875,2.595907521247864,2.788813924789429,0.18125,0.121875
0.5,0.40625,2.6750167846679687,2.4389529705047606,0.16666666666666666,0.2328125,2.5569848775863644,2.6750167846679687,0.19973958333333333,0.16666666666666666
0.5,0.5,3.0477802912394205,2.1704518795013428,0.07604166666666666,0.3015625,2.6091160853703816,3.0477802912394205,0.18880208333333334,0.07604166666666666
0.5,0.59375,3.501609039306641,1.9841354846954347,0.023958333333333335,0.3390625,2.742872262001038,3.501609039306641,0.18151041666666667,0.023958333333333335
0.5,0.6875,4.000344594319661,1.8639966249465942,0.004166666666666667,0.353125,2.9321706096331277,4.000344594319661,0.17864583333333334,0.004166666666666667
0.5,0.78125,4.507592709859212,1.7899667501449585,0.0,0.353125,3.148779730002085,4.507592709859212,0.1765625,0.0
0.5,0.875,4.999067370096842,1.7452191591262818,0.0,0.3625,3.372143264611562,4.999067370096842,0.18125,0.0
