law_id,kind,base_cap,min_cap,high_load_penalty,shared_mixed_penalty,fragile_router_penalty,low_route_evidence_penalty,category_mismatch_penalty,scaled_group_count,max_predicted_relative_delta,p99_predicted_relative_delta,p95_predicted_relative_delta,routed_gt_075_groups,routed_gt_065_groups,routed_gt_050_groups,route_mass_weighted_original_nonbase,route_mass_weighted_preserved_nonbase,nonbase_mass_retention,delta_norm_proxy,delta_norm_proxy_ratio_vs_uncapped,mean_delta_scale,min_delta_scale,internal_risk_score
grid_00421_b0.65_m0.65_h0.10_s0.03_r0.00_l0.00_c0.05,searched_cap_law,0.65,0.65,0.1,0.03,0.0,0.0,0.05,405,0.6500000000000001,0.65,0.65,0,0,610,121.62061756652666,119.46597754433438,0.9822839246724455,1023.6475821478463,0.8738030177648574,0.9824001831026151,0.48973923515639084,62.22812452431596
grid_00422_b0.65_m0.65_h0.10_s0.03_r0.00_l0.05_c0.00,searched_cap_law,0.65,0.65,0.1,0.03,0.0,0.05,0.0,405,0.6500000000000001,0.65,0.65,0,0,610,121.62061756652666,119.46597754433438,0.9822839246724455,1023.6475821478463,0.8738030177648574,0.9824001831026151,0.48973923515639084,62.22812452431596
grid_00423_b0.65_m0.65_h0.10_s0.03_r0.00_l0.05_c0.05,searched_cap_law,0.65,0.65,0.1,0.03,0.0,0.05,0.05,405,0.6500000000000001,0.65,0.65,0,0,610,121.62061756652666,119.46597754433438,0.9822839246724455,1023.6475821478463,0.8738030177648574,0.9824001831026151,0.48973923515639084,62.22812452431596
grid_00424_b0.65_m0.65_h0.10_s0.03_r0.03_l0.00_c0.00,searched_cap_law,0.65,0.65,0.1,0.03,0.03,0.0,0.0,405,0.6500000000000001,0.65,0.65,0,0,610,121.62061756652666,119.46597754433438,0.9822839246724455,1023.6475821478463,0.8738030177648574,0.9824001831026151,0.48973923515639084,62.22812452431596
grid_00425_b0.65_m0.65_h0.10_s0.03_r0.03_l0.00_c0.05,searched_cap_law,0.65,0.65,0.1,0.03,0.03,0.0,0.05,405,0.6500000000000001,0.65,0.65,0,0,610,121.62061756652666,119.46597754433438,0.9822839246724455,1023.6475821478463,0.8738030177648574,0.9824001831026151,0.48973923515639084,62.22812452431596
grid_00426_b0.65_m0.65_h0.10_s0.03_r0.03_l0.05_c0.00,searched_cap_law,0.65,0.65,0.1,0.03,0.03,0.05,0.0,405,0.6500000000000001,0.65,0.65,0,0,610,121.62061756652666,119.46597754433438,0.9822839246724455,1023.6475821478463,0.8738030177648574,0.9824001831026151,0.48973923515639084,62.22812452431596
grid_00427_b0.65_m0.65_h0.10_s0.03_r0.03_l0.05_c0.05,searched_cap_law,0.65,0.65,0.1,0.03,0.03,0.05,0.05,405,0.6500000000000001,0.65,0.65,0,0,610,121.62061756652666,119.46597754433438,0.9822839246724455,1023.6475821478463,0.8738030177648574,0.9824001831026151,0.48973923515639084,62.22812452431596
grid_00428_b0.65_m0.65_h0.10_s0.03_r0.05_l0.00_c0.00,searched_cap_law,0.65,0.65,0.1,0.03,0.05,0.0,0.0,405,0.6500000000000001,0.65,0.65,0,0,610,121.62061756652666,119.46597754433438,0.9822839246724455,1023.6475821478463,0.8738030177648574,0.9824001831026151,0.48973923515639084,62.22812452431596
grid_00429_b0.65_m0.65_h0.10_s0.03_r0.05_l0.00_c0.05,searched_cap_law,0.65,0.65,0.1,0.03,0.05,0.0,0.05,405,0.6500000000000001,0.65,0.65,0,0,610,121.62061756652666,119.46597754433438,0.9822839246724455,1023.6475821478463,0.8738030177648574,0.9824001831026151,0.48973923515639084,62.22812452431596
grid_00430_b0.65_m0.65_h0.10_s0.03_r0.05_l0.05_c0.00,searched_cap_law,0.65,0.65,0.1,0.03,0.05,0.05,0.0,405,0.6500000000000001,0.65,0.65,0,0,610,121.62061756652666,119.46597754433438,0.9822839246724455,1023.6475821478463,0.8738030177648574,0.9824001831026151,0.48973923515639084,62.22812452431596
grid_00431_b0.65_m0.65_h0.10_s0.03_r0.05_l0.05_c0.05,searched_cap_law,0.65,0.65,0.1,0.03,0.05,0.05,0.05,405,0.6500000000000001,0.65,0.65,0,0,610,121.62061756652666,119.46597754433438,0.9822839246724455,1023.6475821478463,0.8738030177648574,0.9824001831026151,0.48973923515639084,62.22812452431596
grid_00300_b0.65_m0.60_h0.00_s0.03_r0.00_l0.00_c0.00,searched_cap_law,0.65,0.6,0.0,0.03,0.0,0.0,0.0,408,0.6500000000000001,0.65,0.65,0,0,610,121.62061756652666,119.4547331548664,0.9821914700402214,1023.423573020581,0.8736117997569951,0.9823596925947321,0.48973923515639084,62.22978239895258
