law_id,kind,base_cap,min_cap,high_load_penalty,shared_mixed_penalty,fragile_router_penalty,low_route_evidence_penalty,category_mismatch_penalty,scaled_group_count,max_predicted_relative_delta,p99_predicted_relative_delta,p95_predicted_relative_delta,routed_gt_075_groups,routed_gt_065_groups,routed_gt_050_groups,route_mass_weighted_original_nonbase,route_mass_weighted_preserved_nonbase,nonbase_mass_retention,delta_norm_proxy,delta_norm_proxy_ratio_vs_uncapped,mean_delta_scale,min_delta_scale,internal_risk_score
grid_00255_b0.70_m0.65_h0.05_s0.03_r0.00_l0.05_c0.05,searched_cap_law,0.7,0.65,0.05,0.03,0.0,0.05,0.05,380,0.7000000000000001,0.7,0.65,0,129,610,121.62061756652666,119.6790812050849,0.9840361247929058,1032.5769178788137,0.881425250889253,0.9836869012288455,0.5252841768261918,712.2007027550311
grid_00279_b0.70_m0.65_h0.10_s0.03_r0.00_l0.05_c0.05,searched_cap_law,0.7,0.65,0.1,0.03,0.0,0.05,0.05,380,0.7000000000000001,0.7,0.65,0,129,610,121.62061756652666,119.6790812050849,0.9840361247929058,1032.5769178788137,0.881425250889253,0.9836869012288455,0.5252841768261918,712.2007027550311
grid_00258_b0.70_m0.65_h0.05_s0.03_r0.03_l0.05_c0.00,searched_cap_law,0.7,0.65,0.05,0.03,0.03,0.05,0.0,382,0.7,0.677318197291852,0.65,0,166,610,121.62061756652666,119.6336757100786,0.9836627876407452,1030.8896970684925,0.8799850104574818,0.983473247986868,0.5048081346996643,897.2067292576426
grid_00282_b0.70_m0.65_h0.10_s0.03_r0.03_l0.05_c0.00,searched_cap_law,0.7,0.65,0.1,0.03,0.03,0.05,0.0,382,0.7,0.677318197291852,0.65,0,166,610,121.62061756652666,119.6336757100786,0.9836627876407452,1030.8896970684925,0.8799850104574818,0.983473247986868,0.5048081346996643,897.2067292576426
grid_00242_b0.70_m0.65_h0.05_s0.00_r0.00_l0.05_c0.00,searched_cap_law,0.7,0.65,0.05,0.0,0.0,0.05,0.0,374,0.7000000000000001,0.7,0.65,0,168,610,121.62061756652666,119.74411321632138,0.9845708368551999,1035.3527747420999,0.8837947696047991,0.9841155405239329,0.5252841768261918,907.1923780325009
grid_00266_b0.70_m0.65_h0.10_s0.00_r0.00_l0.05_c0.00,searched_cap_law,0.7,0.65,0.1,0.0,0.0,0.05,0.0,374,0.7000000000000001,0.7,0.65,0,168,610,121.62061756652666,119.74411321632138,0.9845708368551999,1035.3527747420999,0.8837947696047991,0.9841155405239329,0.5252841768261918,907.1923780325009
grid_00254_b0.70_m0.65_h0.05_s0.03_r0.00_l0.05_c0.00,searched_cap_law,0.7,0.65,0.05,0.03,0.0,0.05,0.0,374,0.7000000000000001,0.7,0.65,0,168,610,121.62061756652666,119.73988626365025,0.984536081624091,1035.2577141807265,0.8837136242899005,0.9841007931616593,0.5252841768261918,907.1929919918082
grid_00278_b0.70_m0.65_h0.10_s0.03_r0.00_l0.05_c0.00,searched_cap_law,0.7,0.65,0.1,0.03,0.0,0.05,0.0,374,0.7000000000000001,0.7,0.65,0,168,610,121.62061756652666,119.73988626365025,0.984536081624091,1035.2577141807265,0.8837136242899005,0.9841007931616593,0.5252841768261918,907.1929919918082
grid_00235_b0.70_m0.65_h0.00_s0.03_r0.03_l0.05_c0.05,searched_cap_law,0.7,0.65,0.0,0.03,0.03,0.05,0.05,382,0.7,0.6952064436539195,0.65,0,179,610,121.62061756652666,119.74249926826354,0.984557566506059,1031.7239970121864,0.880697183104821,0.9835880042972394,0.5048081346996643,962.1895458529837
grid_00163_b0.70_m0.60_h0.00_s0.03_r0.03_l0.05_c0.05,searched_cap_law,0.7,0.6,0.0,0.03,0.03,0.05,0.05,392,0.7,0.6952064436539195,0.6499999999999999,0,179,610,121.62061756652666,119.66350441879663,0.9839080479371889,1024.8161981061833,0.8748005682586127,0.9825388997519059,0.501040291741906,962.1966396095148
grid_00219_b0.70_m0.65_h0.00_s0.00_r0.00_l0.05_c0.05,searched_cap_law,0.7,0.65,0.0,0.0,0.0,0.05,0.05,369,0.7000000000000001,0.7,0.65,0,181,610,121.62061756652666,119.9251337892413,0.9860592405201534,1036.573598889498,0.8848368858982977,0.9842814389058715,0.5252841768261918,972.1636520754952
grid_00231_b0.70_m0.65_h0.00_s0.03_r0.00_l0.05_c0.05,searched_cap_law,0.7,0.65,0.0,0.03,0.0,0.05,0.05,369,0.7000000000000001,0.7,0.65,0,181,610,121.62061756652666,119.92090683657017,0.9860244852890444,1036.4786502959253,0.8847558361610216,0.9842666915435977,0.5252841768261918,972.1642661303802
grid_00147_b0.70_m0.60_h0.00_s0.00_r0.00_l0.05_c0.05,searched_cap_law,0.7,0.6,0.0,0.0,0.0,0.05,0.05,374,0.7000000000000001,0.7,0.6499999999999999,0,181,610,121.62061756652666,119.90896741038941,0.9859263158633365,1034.7937170665462,0.8833175484473198,0.9839663525288278,0.5252841768261917,972.1647912311805
grid_00159_b0.70_m0.60_h0.00_s0.03_r0.00_l0.05_c0.05,searched_cap_law,0.7,0.6,0.0,0.03,0.0,0.05,0.05,374,0.7000000000000001,0.7,0.6499999999999999,0,181,610,121.62061756652666,119.90474045771826,0.9858915606322274,1034.698605143032,0.8832363592888228,0.983951605166554,0.5252841768261917,972.1654051466443
