candidate_id,candidate_family,scaled_group_count,mean_target_cap,min_target_cap,max_target_cap,max_predicted_relative_delta,p99_predicted_relative_delta,routed_gt_hard_cap_groups,routed_gt_075_groups,routed_gt_065_groups,routed_gt_050_groups,route_mass_weighted_original_nonbase,route_mass_weighted_preserved_nonbase,nonbase_mass_retention,delta_norm_proxy,delta_norm_proxy_ratio_vs_uncapped,risk_weighted_predicted_relative_delta,geometry_weighted_predicted_relative_delta,subspace_weighted_predicted_relative_delta,high_geometry_group_count,high_geometry_mean_scale,high_subspace_group_count,high_subspace_mean_scale,route_geometry_risk_weighted_coder_retention,subspace_risk_weighted_coder_retention,mean_delta_scale,min_delta_scale,unified_objective,passes_hard_cap
smooth_risk_s0.75,continuous_mechanism_risk,455,0.6153198972152943,0.5909755561055265,0.6399012431761695,0.6292395222014016,0.6183734688672302,0,0,0,610,121.62061756652666,118.7691703916938,0.97655457411838,995.755376512705,0.849993755787248,0.22486343404547607,0.2185696251470252,0.2150080247987478,204,0.9985159937316154,1139,0.9638230528486521,0.9796515227039861,0.974625714274688,0.9781439038956156,0.4513587348565026,1.6757562061312723,True
router_evidence_risk_s0.75,router_and_evidence_weighted_risk,464,0.6088363585819746,0.5861327145662207,0.6404653651126719,0.6256143953617409,0.6134858669537328,0,0,0,610,121.62061756652666,118.70175484127361,0.9760002639054483,991.5329789798094,0.8463894453089236,0.2247369477790544,0.2184793680202732,0.2148947817065124,204,0.9986051319322689,1139,0.9631012628039568,0.9792562959213872,0.9741227740209925,0.977489503915822,0.44524587701585605,1.6762604693522825,True
smooth_risk_s1.00,continuous_mechanism_risk,479,0.6037598629537257,0.5713007414740354,0.6365349909015593,0.6229841562879606,0.6082207379817722,0,0,0,610,121.62061756652666,118.50270137419038,0.9743635885533077,985.9734441269596,0.8416437316311791,0.22430824846073788,0.21811867572389537,0.21450603800517154,204,0.9982430057046082,1139,0.961443812786522,0.9776869644458955,0.9724090199909515,0.9765687159866352,0.4385652347565398,1.6834552961413733,True
layer_prior,importance_geometry_layer_prior,2782,0.6500000000000001,0.65,0.65,0.6500000000000001,0.65,0,0,0,600,121.62061756652666,117.85109245235085,0.9690058709649795,1013.6772422876115,0.8652921657783422,0.22265572759096416,0.21621897237035234,0.2125732369858086,204,0.9702490087474099,1139,0.9448791947658256,0.9697212638097176,0.9640031572380539,0.9688067169502631,0.48973923515639084,1.7447231623511776,True
expert_geometry_prior_s0.04,expert_geometry_prior,5243,0.6500000000000001,0.65,0.65,0.6500000000000001,0.65,0,0,0,591,121.62061756652666,116.8707124436039,0.9609449021229929,1010.7493943368779,0.8627929048808177,0.2211313753287921,0.21457560273429072,0.21119114343670836,204,0.9674858515621195,1139,0.9474619258943,0.9619293754290437,0.9574157433163025,0.9635673673787052,0.48973923515639084,1.8023238495718996,True
subspace_geometry_prior_s0.04,subspace_and_geometry_prior,5243,0.6500000000000001,0.65,0.65,0.6500000000000001,0.65,0,0,0,579,121.62061756652666,115.97417695893068,0.9535733272813932,1003.0082418024213,0.8561849251780831,0.21867632331892237,0.21230729811209423,0.20845828835264713,204,0.944086653689034,1139,0.9223724240987607,0.9528480171851613,0.9458700799417836,0.9531991898309388,0.48973923515639084,1.8474681929167067,True
layer_geometry_prior_s0.04,layer_and_expert_geometry_prior,5243,0.6500000000000001,0.65,0.65,0.6500000000000001,0.65,0,0,0,579,121.62061756652666,115.3949138483442,0.9488104579408422,1000.6618311395581,0.8541819890564313,0.21771248118570335,0.21132448446995136,0.2076503915514353,204,0.940728893584794,1139,0.9214106442795678,0.9481804852836397,0.9419827924848889,0.9497962213938291,0.48973923515639084,1.8808982429247951,True
expert_geometry_prior_s0.08,expert_geometry_prior,5243,0.6500000000000001,0.65,0.65,0.6500000000000001,0.65,0,0,0,577,121.62061756652666,114.26302288570457,0.9395037220823396,997.7625784529075,0.8517071375635547,0.21590170169626038,0.2093724187544966,0.2060123068259685,204,0.9355560277101624,1139,0.9245602059634759,0.9389676624857622,0.934205007986924,0.9446954009764041,0.48973923515639084,1.9476684140873237,True
subspace_geometry_prior_s0.08,subspace_and_geometry_prior,5243,0.6500000000000001,0.65,0.65,0.6500000000000001,0.65,0,0,0,571,121.62061756652666,114.11176310738033,0.9382600203042138,992.4784060249305,0.8471964779435046,0.21474785401009733,0.2084411141091763,0.2044072497353442,204,0.9182339832192483,1139,0.9000630843701896,0.9361411484268684,0.9279841332661367,0.9376202073622802,0.48973923515639084,1.949533156371066,True
layer_geometry_prior_s0.08,layer_and_expert_geometry_prior,5243,0.6500000000000001,0.65,0.65,0.6500000000000001,0.65,0,0,0,566,121.62061756652666,112.92711681530957,0.928519514822709,987.5184326825025,0.8429625601868163,0.21274293281090995,0.20640797784938578,0.20270348005292138,204,0.911208778422178,1139,0.897851421282934,0.9265454994925505,0.9198580640245977,0.9307411650222203,0.48973923515639084,2.0176574753053784,True
subspace_geometry_prior_s0.12,subspace_and_geometry_prior,5243,0.6500000000000001,0.65,0.65,0.6500000000000001,0.65,0,0,0,551,121.62061756652666,112.24252913777364,0.9228906363378463,981.8808942756314,0.8381502613462786,0.21080263416818631,0.20456104680833284,0.20033928791027433,204,0.8923813127494625,1139,0.8776886331601694,0.9193770330166359,0.9100264350210967,0.9220119245060063,0.48973923515639084,2.0519425282112493,True
expert_geometry_prior_s0.12,expert_geometry_prior,5243,0.6500000000000001,0.65,0.65,0.6500000000000001,0.65,0,0,0,566,121.62061756652666,111.63916124231577,0.9179295704632398,984.6301033764513,0.8404970330777397,0.21063572787885634,0.20413746511200848,0.200801332943601,204,0.9036262038582052,1139,0.901596654296429,0.9158673182994674,0.9108506562085388,0.925774147306103,0.48973923515639084,2.0938545145653014,True
