layer_id,expert_id,total_topk_fraction,dominant_source,original_weight_instruct,original_weight_coder,selected_weight_instruct,selected_weight_coder,selected_scale,audit_max_relative_delta_norm,selected_expected_max_relative_delta_norm,mechanism_risk_score,feature_delta_pressure,feature_router_instability,feature_load_pressure,feature_source_conflict,feature_low_route_mass,feature_expert_route_geometry,feature_expert_internal_geometry,feature_layer_geometry,layer_prior_coder_coefficient,geometry_combined_relative_delta,geometry_combined_cosine,route_geometry_risk_score,internal_geometry_risk_score,layer_route_geometry_risk_score,geometry_action,trust_risk_flags,tensor_pattern,tensor_rule
0,22,0.043810664736172,instruct,0.7663721179417923,0.0836278820582076,0.7663721179417923,0.0836278820582076,1.0,0.088153945934195,0.088153945934195,0.25097400765698646,0.11125323319205696,0.018018016603006382,0.0791334282849325,0.19677148719578264,0.8801687402937962,0.3694239632493563,0.446926298129708,0.533646036648916,1.0,1.04647873699557,0.4074611895078064,0.3694239632493563,0.446926298129708,0.533646036648916,identity_average_geometry_ok,shared_mixed_expert,.*layers\.0\..*experts\.22\..*,".*layers\.0\..*experts\.22\..*::coder=0.0836279,instruct=0.766372"
0,23,0.1667380268160645,instruct,0.6428307442145799,0.2071692557854201,0.6428307442145799,0.2071692557854201,1.0,0.2335772342195629,0.2335772342195629,0.3577018368520531,0.29478229512701437,0.018018016603006382,0.3151924685925242,0.48745707243628267,0.5006199551717234,0.5667893097832002,0.595057724030703,0.533646036648916,1.0,1.0812973544107254,0.3565731593553158,0.5667893097832002,0.595057724030703,0.533646036648916,identity_average_geometry_ok,shared_mixed_expert,.*layers\.0\..*experts\.23\..*,".*layers\.0\..*experts\.23\..*::coder=0.207169,instruct=0.642831"
0,24,0.0230923961096374,coder,0.1840432660093814,0.6659567339906185,0.1840432660093814,0.5846371730161093,0.8778906243845342,0.7018693353936316,0.6161645090850734,0.4687413454543429,0.8857826160066693,0.018018016603006382,0.029561029820338352,0.4765986701959193,0.9441381735752432,0.348396175051413,0.4484151645835509,0.533646036648916,1.0,1.0384181073770768,0.4105116017918664,0.348396175051413,0.4484151645835509,0.533646036648916,identity_average_geometry_ok,category_source_mismatch,.*layers\.0\..*experts\.24\..*,".*layers\.0\..*experts\.24\..*::coder=0.588276,instruct=0.184043"
0,26,0.0264356153903565,instruct,0.5774336283185847,0.2725663716814153,0.5774336283185847,0.2725663716814153,1.0,0.2911027804821234,0.2911027804821234,0.3735017475761858,0.36738146178968983,0.018018016603006382,0.06806816077051431,0.6413326392503889,0.933815696992943,0.4226594483342201,0.5837354636481276,0.533646036648916,1.0,1.040811052853812,0.3646226707521763,0.4226594483342201,0.5837354636481276,0.533646036648916,identity_average_geometry_ok,shared_mixed_expert,.*layers\.0\..*experts\.26\..*,".*layers\.0\..*experts\.26\..*::coder=0.272566,instruct=0.577434"
0,27,0.1133070021955238,instruct,0.5860129375006541,0.2639870624993459,0.5860129375006541,0.2639870624993459,1.0,0.2770217608607018,0.2770217608607018,0.36002512050135893,0.3496107432708234,0.018018016603006382,0.22041118725690012,0.6211460294102256,0.6655928313436996,0.4555039554748881,0.4780880536785105,0.533646036648916,1.0,1.0309671166135554,0.4063804172956371,0.4555039554748881,0.4780880536785105,0.533646036648916,identity_average_geometry_ok,shared_mixed_expert,.*layers\.0\..*experts\.27\..*,".*layers\.0\..*experts\.27\..*::coder=0.263987,instruct=0.586013"
0,28,0.1565661901131864,coder,0.3685410434805189,0.481458956519481,0.3685410434805189,0.481458956519481,1.0,0.4959347556616312,0.4959347556616312,0.4273726975632353,0.6258862769552676,0.018018016603006382,0.18193333293501288,0.8671553964247505,0.5320263743587581,0.4457399470381354,0.3964006105357932,0.533646036648916,1.0,1.0128266446735543,0.4505520682429802,0.4457399470381354,0.3964006105357932,0.533646036648916,identity_average_geometry_ok,shared_mixed_expert,.*layers\.0\..*experts\.28\..*,".*layers\.0\..*experts\.28\..*::coder=0.481459,instruct=0.368541"
0,29,0.1582732397260691,instruct,0.6591136464774362,0.1908863535225637,0.6591136464774362,0.1908863535225637,1.0,0.2054793832344006,0.2054793832344006,0.33449830871123754,0.2593218658209751,0.018018016603006382,0.34755540153792047,0.4491443612295617,0.5267557121095214,0.5105183073371602,0.4896485110744393,0.533646036648916,1.0,1.054757397108815,0.3858290108259648,0.5105183073371602,0.4896485110744393,0.533646036648916,identity_average_geometry_ok,shared_mixed_expert,.*layers\.0\..*experts\.29\..*,".*layers\.0\..*experts\.29\..*::coder=0.190886,instruct=0.659114"
0,30,0.0675579260028993,instruct,0.5201589456573632,0.3298410543426368,0.5201589456573632,0.3298410543426368,1.0,0.3658425309925012,0.3658425309925012,0.4193296434920871,0.4617055309408792,0.018018016603006382,0.19716294843872836,0.7760965984532631,0.8068470321625753,0.4708310637485173,0.5874312712063762,0.533646036648916,1.0,1.0656753139242852,0.3666101820127027,0.4708310637485173,0.5874312712063762,0.533646036648916,identity_average_geometry_ok,shared_mixed_expert,.*layers\.0\..*experts\.30\..*,".*layers\.0\..*experts\.30\..*::coder=0.329841,instruct=0.520159"
0,31,0.0977673167465643,instruct,0.5496265024695635,0.3003734975304364,0.5496265024695635,0.3003734975304364,1.0,0.3109944213716931,0.3109944213716931,0.38442529279974225,0.3924853790222992,0.018018016603006382,0.18193333293501288,0.7067611706598504,0.7135729444246138,0.4697047482670949,0.5394125978182435,0.533646036648916,1.0,1.022876623241373,0.3923856157309724,0.4697047482670949,0.5394125978182435,0.533646036648916,identity_average_geometry_ok,shared_mixed_expert,.*layers\.0\..*experts\.31\..*,".*layers\.0\..*experts\.31\..*::coder=0.300373,instruct=0.549627"
0,32,0.0417322546405206,instruct,0.7520772182873973,0.0979227817126028,0.7520772182873973,0.0979227817126028,1.0,0.106644098507216,0.106644098507216,0.2654693791366976,0.13458842521509573,0.018018016603006382,0.03889609186886473,0.23040654520612425,0.8865860099190668,0.3978285671391475,0.5152469280861851,0.533646036648916,1.0,1.0583280446886192,0.3864153755470024,0.3978285671391475,0.5152469280861851,0.533646036648916,identity_average_geometry_ok,shared_mixed_expert,.*layers\.0\..*experts\.32\..*,".*layers\.0\..*experts\.32\..*::coder=0.0979228,instruct=0.752077"
