lambda,task_a_loss,task_b_loss,task_a_acc,task_b_acc,avg_loss,worst_loss,avg_acc,worst_acc
0.9,0.30108251571655276,0.4234091689466764,0.8833333333333333,0.8715083798882681,0.3622458423316146,0.4234091689466764,0.8774208566108007,0.8715083798882681
0.925,0.31946164237128366,0.4562485337923359,0.8777777777777778,0.8603351955307262,0.3878550880818098,0.4562485337923359,0.8690564866542521,0.8603351955307262
0.9500000000000001,0.3388593037923177,0.49198296616197296,0.8833333333333333,0.8547486033519553,0.41542113497714533,0.49198296616197296,0.8690409683426443,0.8547486033519553
0.9750000000000001,0.3591976006825765,0.5319961888830089,0.8833333333333333,0.8324022346368715,0.44559689478279274,0.5319961888830089,0.8578677839851023,0.8324022346368715
1.0,0.38055456479390465,0.5755060291823062,0.8833333333333333,0.8212290502793296,0.4780302969881054,0.5755060291823062,0.8522811918063314,0.8212290502793296
1.0250000000000001,0.4029203044043647,0.6223649605692432,0.8722222222222222,0.8156424581005587,0.512642632486804,0.6223649605692432,0.8439323401613905,0.8156424581005587
1.05,0.4266160488128662,0.6736116249468074,0.8666666666666667,0.8044692737430168,0.5501138368798368,0.6736116249468074,0.8355679702048417,0.8044692737430168
1.075,0.4516158580780029,0.7280870149921439,0.8611111111111112,0.7821229050279329,0.5898514365350734,0.7280870149921439,0.821617008069522,0.7821229050279329
1.1,0.4781390349070231,0.7866694913896103,0.8611111111111112,0.7597765363128491,0.6324042631483167,0.7866694913896103,0.8104438237119802,0.7597765363128491
1.125,0.5062775505913628,0.8487334224764861,0.8555555555555555,0.7541899441340782,0.6775054865339245,0.8487334224764861,0.8048727498448169,0.7541899441340782
1.1500000000000001,0.5361533270941841,0.9143189371631132,0.85,0.7541899441340782,0.7252361321286487,0.9143189371631132,0.8020949720670392,0.7541899441340782
1.175,0.5678868187798394,0.9826307669698193,0.8388888888888889,0.7374301675977654,0.7752587928748293,0.9826307669698193,0.7881595282433271,0.7374301675977654
1.2000000000000002,0.6020860883924696,1.0551084166798512,0.8277777777777777,0.7262569832402235,0.8285972525361605,1.0551084166798512,0.7770173805090006,0.7262569832402235
1.225,0.6384148915608724,1.1316249996590215,0.8222222222222222,0.6927374301675978,0.885019945609947,1.1316249996590215,0.75747982619491,0.6927374301675978
1.25,0.677121459113227,1.2129003641991642,0.8166666666666667,0.6759776536312849,0.9450109116561956,1.2129003641991642,0.7463221601489758,0.6759776536312849
1.2750000000000001,0.7183414883083767,1.297823112104192,0.8111111111111111,0.6480446927374302,1.0080823002062844,1.297823112104192,0.7295779019242706,0.6480446927374302
1.3,0.7630955908033583,1.3865513934769444,0.8055555555555556,0.6201117318435754,1.0748234921401514,1.3865513934769444,0.7128336436995655,0.6201117318435754
1.3250000000000002,0.811267630259196,1.4789936342718881,0.7833333333333333,0.6089385474860335,1.1451306322655421,1.4789936342718881,0.6961359404096834,0.6089385474860335
1.35,0.8628298229641385,1.5752350364983414,0.7611111111111111,0.5921787709497207,1.2190324297312398,1.5752350364983414,0.6766449410304158,0.5921787709497207
1.375,0.9181061850653754,1.6734202720599467,0.7444444444444445,0.5865921787709497,1.295763228562661,1.6734202720599467,0.665518311607697,0.5865921787709497
1.4000000000000001,0.977087508307563,1.7748402856581704,0.7333333333333333,0.5810055865921788,1.3759638969828667,1.7748402856581704,0.657169459962756,0.5810055865921788
1.425,1.0397198147243925,1.8793398041964908,0.7277777777777777,0.5586592178770949,1.4595298094604416,1.8793398041964908,0.6432184978274363,0.5586592178770949
1.4500000000000002,1.1046506034003363,1.9862817092980753,0.7111111111111111,0.547486033519553,1.5454661563492058,1.9862817092980753,0.6292985723153321,0.547486033519553
1.475,1.1724252700805664,2.09588674193654,0.6944444444444444,0.5363128491620112,1.6341560060085532,2.09588674193654,0.6153786468032278,0.5363128491620112
1.5,1.2438387552897134,2.2084465666190205,0.6888888888888889,0.5363128491620112,1.726142660954367,2.2084465666190205,0.6126008690254501,0.5363128491620112
