router_dir,method,category,prompt_idx,router,expert_id,num_experts,top1_fraction,topk_fraction,topk_over_uniform,top1_over_uniform,risk_flags,recommended_action,reason
results/toy_moe_merge,all_weight_average,general,0,toy_router,2,4.0,0.3425,0.2325,0.93,1.37,,low_lambda_or_route_frequency_average,expert load is within the current risk thresholds.
results/toy_moe_merge,all_weight_average,general,0,toy_router,3,4.0,0.0575,0.16125,0.645,0.23,,low_lambda_or_route_frequency_average,expert load is within the current risk thresholds.
results/toy_moe_merge,all_weight_average,code,0,toy_router,0,4.0,0.0075,0.08125,0.325,0.03,,low_lambda_or_route_frequency_average,expert load is within the current risk thresholds.
results/toy_moe_merge,all_weight_average,code,0,toy_router,1,4.0,0.2075,0.17875,0.715,0.83,,low_lambda_or_route_frequency_average,expert load is within the current risk thresholds.
results/toy_moe_merge,all_weight_average,code,0,toy_router,2,4.0,0.485,0.32125,1.285,1.94,,low_lambda_or_route_frequency_average,expert load is within the current risk thresholds.
results/toy_moe_merge,all_weight_average,code,0,toy_router,3,4.0,0.3,0.41875,1.675,1.2,,low_lambda_or_route_frequency_average,expert load is within the current risk thresholds.
results/toy_moe_merge,router_frozen_average,general,0,toy_router,0,4.0,0.5825,0.35625,1.425,2.33,,low_lambda_or_route_frequency_average,expert load is within the current risk thresholds.
results/toy_moe_merge,router_frozen_average,general,0,toy_router,1,4.0,0.0175,0.15125,0.605,0.07,,low_lambda_or_route_frequency_average,expert load is within the current risk thresholds.
results/toy_moe_merge,router_frozen_average,general,0,toy_router,2,4.0,0.0975,0.155,0.62,0.39,,low_lambda_or_route_frequency_average,expert load is within the current risk thresholds.
results/toy_moe_merge,router_frozen_average,general,0,toy_router,3,4.0,0.3025,0.3375,1.35,1.21,,low_lambda_or_route_frequency_average,expert load is within the current risk thresholds.
results/toy_moe_merge,router_frozen_average,code,0,toy_router,0,4.0,0.0025,0.09,0.36,0.01,,low_lambda_or_route_frequency_average,expert load is within the current risk thresholds.
results/toy_moe_merge,router_frozen_average,code,0,toy_router,1,4.0,0.4925,0.27875,1.115,1.97,,low_lambda_or_route_frequency_average,expert load is within the current risk thresholds.
results/toy_moe_merge,router_frozen_average,code,0,toy_router,2,4.0,0.46,0.29375,1.175,1.84,,low_lambda_or_route_frequency_average,expert load is within the current risk thresholds.
results/toy_moe_merge,router_frozen_average,code,0,toy_router,3,4.0,0.045,0.3375,1.35,0.18,,low_lambda_or_route_frequency_average,expert load is within the current risk thresholds.
results/toy_moe_merge,expert_matched_average,general,0,toy_router,0,4.0,0.6025,0.3625,1.45,2.41,,low_lambda_or_route_frequency_average,expert load is within the current risk thresholds.
results/toy_moe_merge,expert_matched_average,general,0,toy_router,1,4.0,0.015,0.1525,0.61,0.06,,low_lambda_or_route_frequency_average,expert load is within the current risk thresholds.
results/toy_moe_merge,expert_matched_average,general,0,toy_router,2,4.0,0.0975,0.15125,0.605,0.39,,low_lambda_or_route_frequency_average,expert load is within the current risk thresholds.
results/toy_moe_merge,expert_matched_average,general,0,toy_router,3,4.0,0.285,0.33375,1.335,1.14,,low_lambda_or_route_frequency_average,expert load is within the current risk thresholds.
results/toy_moe_merge,expert_matched_average,code,0,toy_router,0,4.0,0.0075,0.0975,0.39,0.03,,low_lambda_or_route_frequency_average,expert load is within the current risk thresholds.
results/toy_moe_merge,expert_matched_average,code,0,toy_router,1,4.0,0.5075,0.2775,1.11,2.03,,low_lambda_or_route_frequency_average,expert load is within the current risk thresholds.
results/toy_moe_merge,expert_matched_average,code,0,toy_router,2,4.0,0.44,0.29125,1.165,1.76,,low_lambda_or_route_frequency_average,expert load is within the current risk thresholds.
results/toy_moe_merge,expert_matched_average,code,0,toy_router,3,4.0,0.045,0.33375,1.335,0.18,,low_lambda_or_route_frequency_average,expert load is within the current risk thresholds.
results/toy_moe_merge,matched_router_frozen_average,general,0,toy_router,0,4.0,0.5825,0.35625,1.425,2.33,,low_lambda_or_route_frequency_average,expert load is within the current risk thresholds.
results/toy_moe_merge,matched_router_frozen_average,general,0,toy_router,1,4.0,0.0175,0.15125,0.605,0.07,,low_lambda_or_route_frequency_average,expert load is within the current risk thresholds.
results/toy_moe_merge,matched_router_frozen_average,general,0,toy_router,2,4.0,0.0975,0.155,0.62,0.39,,low_lambda_or_route_frequency_average,expert load is within the current risk thresholds.
results/toy_moe_merge,matched_router_frozen_average,general,0,toy_router,3,4.0,0.3025,0.3375,1.35,1.21,,low_lambda_or_route_frequency_average,expert load is within the current risk thresholds.
results/toy_moe_merge,matched_router_frozen_average,code,0,toy_router,0,4.0,0.0025,0.09,0.36,0.01,,low_lambda_or_route_frequency_average,expert load is within the current risk thresholds.
results/toy_moe_merge,matched_router_frozen_average,code,0,toy_router,1,4.0,0.4925,0.27875,1.115,1.97,,low_lambda_or_route_frequency_average,expert load is within the current risk thresholds.
results/toy_moe_merge,matched_router_frozen_average,code,0,toy_router,2,4.0,0.46,0.29375,1.175,1.84,,low_lambda_or_route_frequency_average,expert load is within the current risk thresholds.
results/toy_moe_merge,matched_router_frozen_average,code,0,toy_router,3,4.0,0.045,0.3375,1.35,0.18,,low_lambda_or_route_frequency_average,expert load is within the current risk thresholds.
results/toy_moe_merge,matched_router_calibrated_average,general,0,toy_router,0,4.0,0.66,0.3725,1.49,2.64,,low_lambda_or_route_frequency_average,expert load is within the current risk thresholds.
results/toy_moe_merge,matched_router_calibrated_average,general,0,toy_router,1,4.0,0.0,0.16375,0.655,0.0,,low_lambda_or_route_frequency_average,expert load is within the current risk thresholds.
results/toy_moe_merge,matched_router_calibrated_average,general,0,toy_router,2,4.0,0.1275,0.1725,0.69,0.51,,low_lambda_or_route_frequency_average,expert load is within the current risk thresholds.
results/toy_moe_merge,matched_router_calibrated_average,general,0,toy_router,3,4.0,0.2125,0.29125,1.165,0.85,,low_lambda_or_route_frequency_average,expert load is within the current risk thresholds.
results/toy_moe_merge,matched_router_calibrated_average,code,0,toy_router,0,4.0,0.0075,0.15375,0.615,0.03,,low_lambda_or_route_frequency_average,expert load is within the current risk thresholds.
results/toy_moe_merge,matched_router_calibrated_average,code,0,toy_router,1,4.0,0.4925,0.28,1.12,1.97,,low_lambda_or_route_frequency_average,expert load is within the current risk thresholds.
results/toy_moe_merge,matched_router_calibrated_average,code,0,toy_router,2,4.0,0.355,0.2525,1.01,1.42,,low_lambda_or_route_frequency_average,expert load is within the current risk thresholds.
results/toy_moe_merge,matched_router_calibrated_average,code,0,toy_router,3,4.0,0.145,0.31375,1.255,0.58,,low_lambda_or_route_frequency_average,expert load is within the current risk thresholds.
results/toy_moe_merge,expert_weight_search_average,general,0,toy_router,0,4.0,0.5825,0.35625,1.425,2.33,,low_lambda_or_route_frequency_average,expert load is within the current risk thresholds.
results/toy_moe_merge,expert_weight_search_average,general,0,toy_router,1,4.0,0.0175,0.15125,0.605,0.07,,low_lambda_or_route_frequency_average,expert load is within the current risk thresholds.
results/toy_moe_merge,expert_weight_search_average,general,0,toy_router,2,4.0,0.0975,0.155,0.62,0.39,,low_lambda_or_route_frequency_average,expert load is within the current risk thresholds.
results/toy_moe_merge,expert_weight_search_average,general,0,toy_router,3,4.0,0.3025,0.3375,1.35,1.21,,low_lambda_or_route_frequency_average,expert load is within the current risk thresholds.
results/toy_moe_merge,expert_weight_search_average,code,0,toy_router,0,4.0,0.0025,0.09,0.36,0.01,,low_lambda_or_route_frequency_average,expert load is within the current risk thresholds.
results/toy_moe_merge,expert_weight_search_average,code,0,toy_router,1,4.0,0.4925,0.27875,1.115,1.97,,low_lambda_or_route_frequency_average,expert load is within the current risk thresholds.
results/toy_moe_merge,expert_weight_search_average,code,0,toy_router,2,4.0,0.46,0.29375,1.175,1.84,,low_lambda_or_route_frequency_average,expert load is within the current risk thresholds.
results/toy_moe_merge,expert_weight_search_average,code,0,toy_router,3,4.0,0.045,0.3375,1.35,0.18,,low_lambda_or_route_frequency_average,expert load is within the current risk thresholds.
results/toy_moe_merge,expert_weight_search_router_calibrated_average,general,0,toy_router,0,4.0,0.665,0.37375,1.495,2.66,,low_lambda_or_route_frequency_average,expert load is within the current risk thresholds.
results/toy_moe_merge,expert_weight_search_router_calibrated_average,general,0,toy_router,1,4.0,0.0,0.16,0.64,0.0,,low_lambda_or_route_frequency_average,expert load is within the current risk thresholds.
results/toy_moe_merge,expert_weight_search_router_calibrated_average,general,0,toy_router,2,4.0,0.125,0.16875,0.675,0.5,,low_lambda_or_route_frequency_average,expert load is within the current risk thresholds.
results/toy_moe_merge,expert_weight_search_router_calibrated_average,general,0,toy_router,3,4.0,0.21,0.2975,1.19,0.84,,low_lambda_or_route_frequency_average,expert load is within the current risk thresholds.
results/toy_moe_merge,expert_weight_search_router_calibrated_average,code,0,toy_router,0,4.0,0.005,0.15125,0.605,0.02,,low_lambda_or_route_frequency_average,expert load is within the current risk thresholds.
results/toy_moe_merge,expert_weight_search_router_calibrated_average,code,0,toy_router,1,4.0,0.495,0.28375,1.135,1.98,,low_lambda_or_route_frequency_average,expert load is within the current risk thresholds.
results/toy_moe_merge,expert_weight_search_router_calibrated_average,code,0,toy_router,2,4.0,0.3575,0.2575,1.03,1.43,,low_lambda_or_route_frequency_average,expert load is within the current risk thresholds.
results/toy_moe_merge,expert_weight_search_router_calibrated_average,code,0,toy_router,3,4.0,0.1425,0.3075,1.23,0.57,,low_lambda_or_route_frequency_average,expert load is within the current risk thresholds.
results/toy_moe_merge,route_aware_expert_average,general,0,toy_router,0,4.0,0.5825,0.35625,1.425,2.33,,low_lambda_or_route_frequency_average,expert load is within the current risk thresholds.
results/toy_moe_merge,route_aware_expert_average,general,0,toy_router,1,4.0,0.0175,0.15125,0.605,0.07,,low_lambda_or_route_frequency_average,expert load is within the current risk thresholds.
results/toy_moe_merge,route_aware_expert_average,general,0,toy_router,2,4.0,0.0975,0.155,0.62,0.39,,low_lambda_or_route_frequency_average,expert load is within the current risk thresholds.
results/toy_moe_merge,route_aware_expert_average,general,0,toy_router,3,4.0,0.3025,0.3375,1.35,1.21,,low_lambda_or_route_frequency_average,expert load is within the current risk thresholds.
results/toy_moe_merge,route_aware_expert_average,code,0,toy_router,0,4.0,0.0025,0.09,0.36,0.01,,low_lambda_or_route_frequency_average,expert load is within the current risk thresholds.
results/toy_moe_merge,route_aware_expert_average,code,0,toy_router,1,4.0,0.4925,0.27875,1.115,1.97,,low_lambda_or_route_frequency_average,expert load is within the current risk thresholds.
results/toy_moe_merge,route_aware_expert_average,code,0,toy_router,2,4.0,0.46,0.29375,1.175,1.84,,low_lambda_or_route_frequency_average,expert load is within the current risk thresholds.
results/toy_moe_merge,route_aware_expert_average,code,0,toy_router,3,4.0,0.045,0.3375,1.35,0.18,,low_lambda_or_route_frequency_average,expert load is within the current risk thresholds.
