router_seed,sweep_capacity_loss_coef,epoch,source,examples,source_weight,dispatch_mode,soft_loss_coef,dispatch_loss_coef,route_kd_coef,output_kd_coef,top1_loss_coef,base_kl_coef,load_balance_coef,capacity_loss_coef,capacity_factor,temperature,soft_ce,dispatch_ce,route_kl,output_kd,top1_ce,base_kl,load_balance,capacity_overflow,capacity_ratio,total_loss,same_shape_action
base_router,0.05,5,matched_code_source,500,0.5,hard_top2,0.5,1.0,1.0,0.0,0.5,0.25,0.1,0.05,1.25,1.0,0.6361488704681396,0.6300327262878418,0.008195845551788808,0.00017148459306918086,0.9061311783790589,0.008002012081444264,1.062667444229126,0.1007857192158699,1.2089388351440429,0.8149843549728394,capacity_aware_unified_router_objective_expert_aligned_same_shape
base_router,0.05,6,general_source,500,0.5,hard_top2,0.5,1.0,1.0,0.0,0.5,0.25,0.1,0.05,1.25,1.0,0.5961370787620545,0.5570101990699768,0.007901817835867405,0.0012927343854680657,0.8827682194709778,0.010717391535639763,1.0754249448776245,0.14992120575904846,1.4797478351593019,0.7669056572914124,capacity_aware_unified_router_objective_expert_aligned_same_shape
base_router,0.05,6,matched_code_source,500,0.5,hard_top2,0.5,1.0,1.0,0.0,0.5,0.25,0.1,0.05,1.25,1.0,0.6348524599075317,0.6294141869544982,0.010263215854763984,0.00020302087406162174,0.8927499198913574,0.010131144471466541,1.066388132095337,0.10527519381046295,1.2082385587692261,0.813129065990448,capacity_aware_unified_router_objective_expert_aligned_same_shape
base_router,0.05,7,general_source,500,0.5,hard_top2,0.5,1.0,1.0,0.0,0.5,0.25,0.1,0.05,1.25,1.0,0.5947572293281556,0.5576158547401429,0.009890172198414803,0.0014636678639799356,0.8698033447265625,0.01298365968465805,1.0800097103118897,0.1499869394302368,1.479958158493042,0.7656434397697449,capacity_aware_unified_router_objective_expert_aligned_same_shape
base_router,0.05,7,matched_code_source,500,0.5,hard_top2,0.5,1.0,1.0,0.0,0.5,0.25,0.1,0.05,1.25,1.0,0.6337634792327881,0.6293671236038209,0.012162666231393815,0.0002451272620819509,0.8813084902763366,0.012104395866394044,1.06948606300354,0.10692390590906144,1.2097406854629518,0.8117943496704102,capacity_aware_unified_router_objective_expert_aligned_same_shape
base_router,0.075,0,general_source,500,0.5,hard_top2,0.5,1.0,1.0,0.0,0.5,0.25,0.1,0.075,1.25,1.0,0.6084648365974427,0.5524159889221192,0.00038940286007709804,0.0007160739828832448,1.0041702885627746,3.247735055629164e-05,1.0372782287597657,0.10437498432397842,1.3095138511657716,0.7865891480445861,capacity_aware_unified_router_objective_expert_aligned_same_shape
base_router,0.075,0,matched_code_source,500,0.5,hard_top2,0.5,1.0,1.0,0.0,0.5,0.25,0.1,0.075,1.25,1.0,0.6457532248497009,0.6393709440231323,0.00038310217764228583,0.00027999622002243996,1.0004351000785827,0.00012646830116864294,1.0413259859085082,0.024499466359615325,1.069649941444397,0.8357964925765992,capacity_aware_unified_router_objective_expert_aligned_same_shape
base_router,0.075,1,general_source,500,0.5,hard_top2,0.5,1.0,1.0,0.0,0.5,0.25,0.1,0.075,1.25,1.0,0.6055159554481506,0.5518368592262268,0.00031304201390594245,0.0006685751611366868,0.974313353061676,0.0007684315396472812,1.0460629835128785,0.11445342856645584,1.3662509469985962,0.7797783584594726,capacity_aware_unified_router_objective_expert_aligned_same_shape
base_router,0.075,1,matched_code_source,500,0.5,hard_top2,0.5,1.0,1.0,0.0,0.5,0.25,0.1,0.075,1.25,1.0,0.6434442195892334,0.6358324923515319,0.0009755943100899458,0.0002161008141702041,0.9793223547935486,0.000717402208596468,1.0445335321426392,0.042380233883857726,1.111772583961487,0.8292734093666077,capacity_aware_unified_router_objective_expert_aligned_same_shape
base_router,0.075,2,general_source,500,0.5,hard_top2,0.5,1.0,1.0,0.0,0.5,0.25,0.1,0.075,1.25,1.0,0.603226662158966,0.5539338369369506,0.0010565866231918334,0.0007298882091417908,0.9520830516815185,0.002130957158282399,1.0524250650405884,0.1265401155948639,1.4049283704757691,0.7769073991775512,capacity_aware_unified_router_objective_expert_aligned_same_shape
base_router,0.075,2,matched_code_source,500,0.5,hard_top2,0.5,1.0,1.0,0.0,0.5,0.25,0.1,0.075,1.25,1.0,0.641283715724945,0.6339138603210449,0.002229999026283622,0.0001724557876586914,0.9583222889900207,0.0019703376758843662,1.048932819366455,0.06224157845973968,1.1517436532974243,0.82452374792099,capacity_aware_unified_router_objective_expert_aligned_same_shape
base_router,0.075,3,general_source,500,0.5,hard_top2,0.5,1.0,1.0,0.0,0.5,0.25,0.1,0.075,1.25,1.0,0.6011950769424439,0.5555291604995728,0.002330037301406264,0.000840020652860403,0.9323400201797485,0.0039298077151179315,1.0584259386062622,0.1360643012523651,1.435405788421631,0.7746972002983094,capacity_aware_unified_router_objective_expert_aligned_same_shape
base_router,0.075,3,matched_code_source,500,0.5,hard_top2,0.5,1.0,1.0,0.0,0.5,0.25,0.1,0.075,1.25,1.0,0.6393029518127441,0.6317856845855713,0.003978715658187866,0.00015228492149617522,0.9388803753852845,0.003732370465993881,1.053718502998352,0.07994940048456192,1.183856442451477,0.8206540522575378,capacity_aware_unified_router_objective_expert_aligned_same_shape
base_router,0.075,4,general_source,500,0.5,hard_top2,0.5,1.0,1.0,0.0,0.5,0.25,0.1,0.075,1.25,1.0,0.5993560285568237,0.555693009853363,0.003956260040402413,0.0009861643053591252,0.9144424815177917,0.006002177663147449,1.0640802431106566,0.14022410821914671,1.4487171335220337,0.7720906620025635,capacity_aware_unified_router_objective_expert_aligned_same_shape
base_router,0.075,4,matched_code_source,500,0.5,hard_top2,0.5,1.0,1.0,0.0,0.5,0.25,0.1,0.075,1.25,1.0,0.6375304865837097,0.6312200193405151,0.0060094260759651665,0.0001538997293682769,0.9214659833908081,0.005795765005052089,1.05838046169281,0.08909202492237091,1.194453363418579,0.8180413389205933,capacity_aware_unified_router_objective_expert_aligned_same_shape
base_router,0.075,5,general_source,500,0.5,hard_top2,0.5,1.0,1.0,0.0,0.5,0.25,0.1,0.075,1.25,1.0,0.5976982870101929,0.5565788688659667,0.005803280610591173,0.0011581092048436404,0.8982389392852783,0.00822165574133396,1.069308271408081,0.14549489057064055,1.4655835905075074,0.7705274252891541,capacity_aware_unified_router_objective_expert_aligned_same_shape
base_router,0.075,5,matched_code_source,500,0.5,hard_top2,0.5,1.0,1.0,0.0,0.5,0.25,0.1,0.075,1.25,1.0,0.6359768438339234,0.6302013878822327,0.008110582776367664,0.00017375981889199466,0.9062242202758789,0.00795153696089983,1.062551251411438,0.09769328486919403,1.2039276037216187,0.8158154921531677,capacity_aware_unified_router_objective_expert_aligned_same_shape
base_router,0.075,6,general_source,500,0.5,hard_top2,0.5,1.0,1.0,0.0,0.5,0.25,0.1,0.075,1.25,1.0,0.5962017922401428,0.5576062145233154,0.0077575395181775095,0.0013409714968875051,0.883778295993805,0.01048618471622467,1.0740363788604737,0.14652248978614807,1.468871943473816,0.7691509852409363,capacity_aware_unified_router_objective_expert_aligned_same_shape
base_router,0.075,6,matched_code_source,500,0.5,hard_top2,0.5,1.0,1.0,0.0,0.5,0.25,0.1,0.075,1.25,1.0,0.634656455039978,0.6297611079216003,0.01013552698493004,0.00020792362117208542,0.8930870485305786,0.010047408044338227,1.066084005355835,0.1003397216796875,1.2000384731292724,0.8140260367393494,capacity_aware_unified_router_objective_expert_aligned_same_shape
base_router,0.075,7,general_source,500,0.5,hard_top2,0.5,1.0,1.0,0.0,0.5,0.25,0.1,0.075,1.25,1.0,0.5948522238731384,0.5578027591705322,0.009721163176000119,0.0015223636832088232,0.871083890914917,0.012709414809942246,1.078222478866577,0.14797906732559205,1.47353297996521,0.7678209915161133,capacity_aware_unified_router_objective_expert_aligned_same_shape
base_router,0.075,7,matched_code_source,500,0.5,hard_top2,0.5,1.0,1.0,0.0,0.5,0.25,0.1,0.075,1.25,1.0,0.633559766292572,0.6296539187431336,0.0120074293166399,0.0002522383308969438,0.8818312411308289,0.011998723104596138,1.069017336845398,0.10240788161754608,1.1995974206924438,0.8127279062271118,capacity_aware_unified_router_objective_expert_aligned_same_shape
base_router,0.1,0,general_source,500,0.5,hard_top2,0.5,1.0,1.0,0.0,0.5,0.25,0.1,0.1,1.25,1.0,0.6084648365974427,0.5524159889221192,0.0003894027464557439,0.0007160739828832448,1.0041702885627746,3.2477528089657426e-05,1.0372782287597657,0.10437498432397842,1.3095138511657716,0.7876863775253296,capacity_aware_unified_router_objective_expert_aligned_same_shape
base_router,0.1,0,matched_code_source,500,0.5,hard_top2,0.5,1.0,1.0,0.0,0.5,0.25,0.1,0.1,1.25,1.0,0.6457436380386352,0.639365650177002,0.00038277464639395475,0.00027926480793394147,1.0003012056350709,0.0001260794991394505,1.0413522825241088,0.02453782671689987,1.0697276849746704,0.8358305077552796,capacity_aware_unified_router_objective_expert_aligned_same_shape
base_router,0.1,1,general_source,500,0.5,hard_top2,0.5,1.0,1.0,0.0,0.5,0.25,0.1,0.1,1.25,1.0,0.6055173301696777,0.5518452506065369,0.00030912941810674964,0.000669512280728668,0.9744613723754882,0.0007637344505637884,1.0459572601318359,0.11437394797801971,1.365996657371521,0.7811146721839904,capacity_aware_unified_router_objective_expert_aligned_same_shape
base_router,0.1,1,matched_code_source,500,0.5,hard_top2,0.5,1.0,1.0,0.0,0.5,0.25,0.1,0.1,1.25,1.0,0.643415807723999,0.635466139793396,0.0009818878332152963,0.00021397221437655388,0.9789286389350891,0.0007221130151301622,1.0446697731018066,0.04339962783455849,1.11489839553833,0.8292228493690491,capacity_aware_unified_router_objective_expert_aligned_same_shape
