sweep_capacity_loss_coef,epoch,examples,dispatch_mode,soft_loss_coef,dispatch_loss_coef,capacity_loss_coef,initial_kl_coef,load_balance_coef,capacity_factor,soft_ce,dispatch_ce,initial_kl,load_balance,capacity_overflow,capacity_ratio,total_loss,same_shape_action
0.05,2,1000,hard_top2,0.5,1.0,0.05,0.5,0.1,1.25,0.6136629223823548,0.5927752227783203,0.0007626086422242224,1.0568853616714478,0.0954037635922432,1.2883455762863159,1.0078016376495362,router_bias_only_capacity_calibration
0.05,3,1000,hard_top2,0.5,1.0,0.05,0.5,0.1,1.25,0.6135091857910157,0.5924439387321472,0.0009294704017229379,1.0580620956420899,0.0951804352402687,1.2894366273880005,1.0076403017044067,router_bias_only_capacity_calibration
0.05,4,1000,hard_top2,0.5,1.0,0.05,0.5,0.1,1.25,0.6134904971122742,0.5921296825408936,0.0008783285948447883,1.0580766525268555,0.09289989504218102,1.2830999183654785,1.0072099523544311,router_bias_only_capacity_calibration
0.05,5,1000,hard_top2,0.5,1.0,0.05,0.5,0.1,1.25,0.6135399103164673,0.5925076432228088,0.0007376955235376954,1.057519142150879,0.09212220016121864,1.2789795637130736,1.0074330053329468,router_bias_only_capacity_calibration
0.05,6,1000,hard_top2,0.5,1.0,0.05,0.5,0.1,1.25,0.6136117057800293,0.5927276730537414,0.0005966933364979923,1.0568357028961182,0.09134985384345054,1.2745895681381225,1.0075035934448242,router_bias_only_capacity_calibration
0.05,7,1000,hard_top2,0.5,1.0,0.05,0.5,0.1,1.25,0.6136735339164734,0.592902135848999,0.000506710471585393,1.0562382202148437,0.08985812416672706,1.2686153335571289,1.007516284942627,router_bias_only_capacity_calibration
0.1,0,1000,hard_top2,0.5,1.0,0.1,0.5,0.1,1.25,0.6145313758850097,0.5933516964912414,5.794471496483311e-05,1.0537119235992431,0.09266942524909973,1.25976402759552,1.00955189704895,router_bias_only_capacity_calibration
0.1,1,1000,hard_top2,0.5,1.0,0.1,0.5,0.1,1.25,0.6142278938293457,0.5927272491455078,0.00015506040921900422,1.0532883787155152,0.0925692526102066,1.2654945631027221,1.008891887664795,router_bias_only_capacity_calibration
0.1,2,1000,hard_top2,0.5,1.0,0.1,0.5,0.1,1.25,0.6139032607078552,0.5929171857833863,0.00036078044539317487,1.054880693435669,0.09145635229349136,1.2708168563842774,1.0092992582321167,router_bias_only_capacity_calibration
0.1,3,1000,hard_top2,0.5,1.0,0.1,0.5,0.1,1.25,0.6137236537933349,0.5928490471839905,0.0005307715074159205,1.055948600769043,0.09041237643361091,1.2717757186889649,1.0093809204101563,router_bias_only_capacity_calibration
0.1,4,1000,hard_top2,0.5,1.0,0.1,0.5,0.1,1.25,0.6136691732406616,0.5927330136299134,0.0005654076768551022,1.0562392768859863,0.08912247478961945,1.2688673477172852,1.009264060974121,router_bias_only_capacity_calibration
0.1,5,1000,hard_top2,0.5,1.0,0.1,0.5,0.1,1.25,0.6136983208656311,0.5931837782859802,0.0004995066956616938,1.0559588441848755,0.08765493807196617,1.2635916681289674,1.0095440616607667,router_bias_only_capacity_calibration
0.1,6,1000,hard_top2,0.5,1.0,0.1,0.5,0.1,1.25,0.6137703194618225,0.5936194653511048,0.0003981799215544015,1.0554087162017822,0.08718369317054749,1.2611235122680664,1.0098384504318236,router_bias_only_capacity_calibration
0.1,7,1000,hard_top2,0.5,1.0,0.1,0.5,0.1,1.25,0.6138482966423034,0.5933100872039795,0.0003206958505325019,1.0548077507019042,0.08604966720938682,1.2574418668746947,1.0093349561691285,router_bias_only_capacity_calibration
0.25,0,1000,hard_top2,0.5,1.0,0.25,0.5,0.1,1.25,0.6145527358055115,0.5937758731842041,8.786061278078705e-05,1.0552327461242677,0.09601354157924652,1.2629957475662232,1.0159892444610596,router_bias_only_capacity_calibration
0.25,1,1000,hard_top2,0.5,1.0,0.25,0.5,0.1,1.25,0.6146609067916871,0.5931805362701416,7.093717166571878e-05,1.0519168815612794,0.08689917010068894,1.2415974435806274,1.0134502696990966,router_bias_only_capacity_calibration
0.25,2,1000,hard_top2,0.5,1.0,0.25,0.5,0.1,1.25,0.6145395002365113,0.5928564801216125,5.01385930692777e-05,1.0514975576400756,0.08187724298238755,1.2340527086257935,1.0123455142974853,router_bias_only_capacity_calibration
