method,dispatch_mode,general_loss,code_loss,general_acc,code_acc,avg_loss,worst_loss,avg_acc,worst_acc
matched_router_topk_calibrated_average,hard_top1,0.49475549697875976,0.6322921562194824,0.7925,0.615,0.5635238265991211,0.6322921562194824,0.70375,0.615
matched_router_topk_calibrated_average,hard_top2,0.5278473472595215,0.6365553283691406,0.82,0.6575,0.5822013378143311,0.6365553283691406,0.73875,0.6575
matched_router_sweep_selected_average,soft_all,0.5768692970275879,0.6298624610900879,0.86,0.7975,0.6033658790588379,0.6298624610900879,0.82875,0.7975
matched_router_sweep_selected_average,hard_top1,0.5127428817749023,0.6233673477172852,0.7825,0.6075,0.5680551147460937,0.6233673477172852,0.6950000000000001,0.6075
matched_router_sweep_selected_average,hard_top2,0.5225707244873047,0.625823860168457,0.8575,0.665,0.5741972923278809,0.625823860168457,0.76125,0.665
expert_weight_search_average,soft_all,0.5952421951293946,0.648809871673584,0.835,0.755,0.6220260334014893,0.648809871673584,0.7949999999999999,0.755
expert_weight_search_average,hard_top1,0.507128677368164,0.6382843780517579,0.795,0.6075,0.572706527709961,0.6382843780517579,0.70125,0.6075
expert_weight_search_average,hard_top2,0.5343506240844726,0.6368792533874512,0.8425,0.6325,0.5856149387359619,0.6368792533874512,0.7375,0.6325
expert_weight_search_router_calibrated_average,soft_all,0.5762848663330078,0.6280424499511719,0.8575,0.8025,0.6021636581420898,0.6280424499511719,0.8300000000000001,0.8025
expert_weight_search_router_calibrated_average,hard_top1,0.5059840774536133,0.6229421043395996,0.79,0.595,0.5644630908966064,0.6229421043395996,0.6925,0.595
expert_weight_search_router_calibrated_average,hard_top2,0.5212313461303711,0.6224446296691895,0.8625,0.6425,0.5718379878997804,0.6224446296691895,0.7525,0.6425
expert_output_projection_average,soft_all,0.594581413269043,0.651278190612793,0.8325,0.7575,0.622929801940918,0.651278190612793,0.7949999999999999,0.7575
expert_output_projection_average,hard_top1,0.5023129272460938,0.6425486946105957,0.8,0.615,0.5724308109283447,0.6425486946105957,0.7075,0.615
expert_output_projection_average,hard_top2,0.5314101219177246,0.6408339691162109,0.8425,0.635,0.5861220455169678,0.6408339691162109,0.73875,0.635
expert_output_projection_router_calibrated_average,soft_all,0.5757991409301758,0.6305874443054199,0.8625,0.8075,0.6031932926177979,0.6305874443054199,0.835,0.8075
expert_output_projection_router_calibrated_average,hard_top1,0.5021592140197754,0.6258025360107422,0.795,0.5925,0.5639808750152588,0.6258025360107422,0.6937500000000001,0.5925
expert_output_projection_router_calibrated_average,hard_top2,0.5188630485534668,0.6275963020324707,0.86,0.6475,0.5732296752929688,0.6275963020324707,0.7537499999999999,0.6475
unified_router_kd_seed_average,soft_all,0.5959584236145019,0.6469792747497558,0.84,0.76,0.6214688491821289,0.6469792747497558,0.8,0.76
unified_router_kd_seed_average,hard_top1,0.5157979774475098,0.6398430061340332,0.795,0.5875,0.5778204917907714,0.6398430061340332,0.69125,0.5875
unified_router_kd_seed_average,hard_top2,0.5257075691223144,0.6396945953369141,0.835,0.5975,0.5827010822296143,0.6396945953369141,0.71625,0.5975
unified_route_kd_seed_average,soft_all,0.5808394432067872,0.636345272064209,0.855,0.7775,0.6085923576354981,0.636345272064209,0.8162499999999999,0.7775
unified_route_kd_seed_average,hard_top1,0.5107070541381836,0.6263968658447265,0.7825,0.6275,0.568551959991455,0.6263968658447265,0.705,0.6275
unified_route_kd_seed_average,hard_top2,0.5379179191589355,0.6240786933898925,0.8525,0.6875,0.580998306274414,0.6240786933898925,0.77,0.6875
unified_calibrated_seed_average,soft_all,0.5762848663330078,0.6280424499511719,0.8575,0.8025,0.6021636581420898,0.6280424499511719,0.8300000000000001,0.8025
unified_calibrated_seed_average,hard_top1,0.5059840774536133,0.6229421043395996,0.79,0.595,0.5644630908966064,0.6229421043395996,0.6925,0.595
unified_calibrated_seed_average,hard_top2,0.5212313461303711,0.6224446296691895,0.8625,0.6425,0.5718379878997804,0.6224446296691895,0.7525,0.6425
unified_output_projection_router_kd_seed_average,soft_all,0.5952449035644531,0.6494839859008789,0.8325,0.76,0.622364444732666,0.6494839859008789,0.79625,0.76
unified_output_projection_router_kd_seed_average,hard_top1,0.5102370452880859,0.6436820983886719,0.8,0.595,0.5769595718383789,0.6436820983886719,0.6975,0.595
unified_output_projection_router_kd_seed_average,hard_top2,0.5225779342651368,0.6434370040893554,0.8325,0.6075,0.5830074691772461,0.6434370040893554,0.72,0.6075
unified_output_projection_route_kd_seed_average,soft_all,0.5796809387207031,0.6394158554077148,0.8475,0.795,0.609548397064209,0.6394158554077148,0.82125,0.795
unified_output_projection_route_kd_seed_average,hard_top1,0.5058607864379883,0.6301650810241699,0.7875,0.635,0.5680129337310791,0.6301650810241699,0.7112499999999999,0.635
unified_output_projection_route_kd_seed_average,hard_top2,0.5348217010498046,0.6284373474121093,0.8525,0.68,0.581629524230957,0.6284373474121093,0.7662500000000001,0.68
