sweep_capacity_loss_coef,epoch,examples,dispatch_mode,soft_loss_coef,dispatch_loss_coef,capacity_loss_coef,initial_kl_coef,load_balance_coef,capacity_factor,soft_ce,dispatch_ce,initial_kl,load_balance,capacity_overflow,capacity_ratio,total_loss,same_shape_action
0.1,5,1000,hard_top2,0.5,1.0,0.1,0.5,0.1,1.25,0.6134875674247742,0.592898142337799,0.0005082683018408716,1.0597909173965454,0.09592815321683884,1.2936418437957764,1.0103156185150146,router_bias_only_capacity_calibration
0.1,6,1000,hard_top2,0.5,1.0,0.1,0.5,0.1,1.25,0.6135074810981751,0.593040078163147,0.00047835582797415557,1.0595019416809082,0.09443976601958275,1.2881930932998658,1.0102746572494508,router_bias_only_capacity_calibration
0.1,7,1000,hard_top2,0.5,1.0,0.1,0.5,0.1,1.25,0.6135478677749634,0.5935638771057129,0.00041681337310001256,1.0591259841918945,0.09318451690673828,1.2832808160781861,1.0106336545944214,router_bias_only_capacity_calibration
0.25,0,1000,hard_top2,0.5,1.0,0.25,0.5,0.1,1.25,0.6140945110321044,0.5918435463905335,6.256032770033926e-05,1.0598389596939086,0.10863826704025269,1.2982369155883788,1.017031400680542,router_bias_only_capacity_calibration
0.25,1,1000,hard_top2,0.5,1.0,0.25,0.5,0.1,1.25,0.6143409876823426,0.5932236328125,0.00019602712919004263,1.0558867053985597,0.09519144439697266,1.270106746673584,1.015503487586975,router_bias_only_capacity_calibration
0.25,2,1000,hard_top2,0.5,1.0,0.25,0.5,0.1,1.25,0.6143547520637512,0.5936650390625,0.00036727834050543604,1.0548457946777343,0.08904415059089661,1.2555050992965697,1.014936007499695,router_bias_only_capacity_calibration
0.25,3,1000,hard_top2,0.5,1.0,0.25,0.5,0.1,1.25,0.6143125205039978,0.5931174683570862,0.0005773646808229386,1.0545327501296997,0.08553323376178741,1.249222373008728,1.0140488548278808,router_bias_only_capacity_calibration
0.25,4,1000,hard_top2,0.5,1.0,0.25,0.5,0.1,1.25,0.6142461915016174,0.5931622815132142,0.0007890777541324496,1.0546384506225586,0.08324145516753197,1.2457057275772094,1.013884430885315,router_bias_only_capacity_calibration
0.25,5,1000,hard_top2,0.5,1.0,0.25,0.5,0.1,1.25,0.6141784076690674,0.5928762946128845,0.0009449014719575643,1.054942093849182,0.08055073529481888,1.243002360343933,1.0134783916473389,router_bias_only_capacity_calibration
0.25,6,1000,hard_top2,0.5,1.0,0.25,0.5,0.1,1.25,0.6141317548751831,0.593236720085144,0.0010142726870253681,1.055145793914795,0.07971220406889916,1.2403815355300902,1.013822377204895,router_bias_only_capacity_calibration
0.25,7,1000,hard_top2,0.5,1.0,0.25,0.5,0.1,1.25,0.6141063060760498,0.5932210993766784,0.001007343765348196,1.0552228136062622,0.07924665808677674,1.2393010911941529,1.01377486038208,router_bias_only_capacity_calibration
0.5,0,1000,hard_top2,0.5,1.0,0.5,0.5,0.1,1.25,0.6140697135925293,0.592088849067688,7.137886504642665e-05,1.059578251838684,0.10626273357868195,1.292830454826355,1.028530704498291,router_bias_only_capacity_calibration
0.5,1,1000,hard_top2,0.5,1.0,0.5,0.5,0.1,1.25,0.6144304938316345,0.5935428676605224,0.000380891622742638,1.055311357498169,0.09119526588916779,1.2567377405166626,1.0238198575973512,router_bias_only_capacity_calibration
0.5,2,1000,hard_top2,0.5,1.0,0.5,0.5,0.1,1.25,0.6145947566032409,0.593304217338562,0.000861723308917135,1.053759913444519,0.0831357268691063,1.2325521278381348,1.020826003074646,router_bias_only_capacity_calibration
0.5,3,1000,hard_top2,0.5,1.0,0.5,0.5,0.1,1.25,0.6147015948295593,0.5940196781158448,0.0014487772025167942,1.053109525680542,0.076617492467165,1.2221514654159547,1.0200214557647704,router_bias_only_capacity_calibration
