router,layer,shape,numel,shape_match,base_norm,delta_norm,relative_delta_norm,max_abs_delta
model.layers.16.mlp.gate.weight,16,128x2048,262144,True,17.657815023283156,14.436301970213679,0.8175587948553278,1.20703125
model.layers.17.mlp.gate.weight,17,128x2048,262144,True,17.28862209250413,14.597682382235105,0.844351985029753,1.2841796875
model.layers.18.mlp.gate.weight,18,128x2048,262144,True,15.885945549170529,13.807450005673738,0.8691613579397345,1.315093994140625
model.layers.19.mlp.gate.weight,19,128x2048,262144,True,16.05196620032837,13.245571908033961,0.825168190782946,1.2421875
model.layers.20.mlp.gate.weight,20,128x2048,262144,True,16.97608971672548,13.731500005725032,0.8088729639662686,1.3212890625
model.layers.21.mlp.gate.weight,21,128x2048,262144,True,17.697021509635455,13.911216963208537,0.7860767392769642,1.2451171875
model.layers.22.mlp.gate.weight,22,128x2048,262144,True,17.21895204622838,13.666745131352657,0.7937036525022558,1.0966796875
model.layers.23.mlp.gate.weight,23,128x2048,262144,True,16.739768476081515,12.8898999559354,0.7700166208602605,1.18359375
model.layers.24.mlp.gate.weight,24,128x2048,262144,True,16.745969372788636,12.522353669764485,0.7477831465589972,1.038330078125
model.layers.25.mlp.gate.weight,25,128x2048,262144,True,15.251003545041204,10.701913851410309,0.7017186652539982,0.93603515625
model.layers.26.mlp.gate.weight,26,128x2048,262144,True,15.297348311274256,9.749868538777202,0.6373567719309547,0.7255859375
model.layers.27.mlp.gate.weight,27,128x2048,262144,True,15.081116627602599,9.066257723767261,0.6011662098795464,0.75
model.layers.28.mlp.gate.weight,28,128x2048,262144,True,13.891502670177438,7.845236344870992,0.564750735117613,0.3828125
model.layers.29.mlp.gate.weight,29,128x2048,262144,True,13.575936267242366,7.631295028916087,0.5621192438365952,0.6494140625
model.layers.30.mlp.gate.weight,30,128x2048,262144,True,12.510688179536166,6.460177283437914,0.5163726559826564,0.46875
model.layers.31.mlp.gate.weight,31,128x2048,262144,True,12.711268218461905,5.7461853642424705,0.4520544500742014,0.361328125
model.layers.32.mlp.gate.weight,32,128x2048,262144,True,13.872162399872542,5.6305811003147515,0.405890656266141,0.44140625
model.layers.33.mlp.gate.weight,33,128x2048,262144,True,14.175193524259036,5.2874991558967075,0.3730107209363898,0.3515625
model.layers.34.mlp.gate.weight,34,128x2048,262144,True,13.62298625098518,4.984420728324229,0.36588312110817617,0.275390625
model.layers.35.mlp.gate.weight,35,128x2048,262144,True,13.288104274499089,4.700929452424787,0.35376975942657507,0.28271484375
model.layers.36.mlp.gate.weight,36,128x2048,262144,True,13.154370968842922,4.588777926450175,0.348840544129326,0.2890625
model.layers.37.mlp.gate.weight,37,128x2048,262144,True,11.367862683985637,3.9154994253373214,0.3444358481610833,0.231201171875
model.layers.38.mlp.gate.weight,38,128x2048,262144,True,11.123130384069748,3.6586959352138155,0.3289268226554013,0.23828125
model.layers.39.mlp.gate.weight,39,128x2048,262144,True,10.576108934773474,3.288608691878056,0.3109469382511134,0.267578125
model.layers.40.mlp.gate.weight,40,128x2048,262144,True,9.49907960950609,2.9717414641438635,0.31284520040972486,0.240234375
model.layers.41.mlp.gate.weight,41,128x2048,262144,True,8.779555187732099,2.623316270254919,0.2987983120056637,0.169921875
model.layers.42.mlp.gate.weight,42,128x2048,262144,True,8.441205150745517,2.4532925493886255,0.290632973085834,0.1630859375
model.layers.43.mlp.gate.weight,43,128x2048,262144,True,8.164366677198306,2.2825701303561075,0.2795771209946926,0.16015625
model.layers.44.mlp.gate.weight,44,128x2048,262144,True,7.794604504078446,2.21160404146363,0.2837352479277725,0.1435546875
model.layers.45.mlp.gate.weight,45,128x2048,262144,True,7.231444719045384,2.1309958745521773,0.2946846663903542,0.1455078125
model.layers.46.mlp.gate.weight,46,128x2048,262144,True,6.5845640295673835,2.174959804996596,0.330311892363737,0.1162109375
model.layers.47.mlp.gate.weight,47,128x2048,262144,True,7.07787654348012,4.185606798961495,0.5913647650179943,0.19140625
